Sample,glycopeptide_abundance,gut_locations
SHDC213A,0,small_intestine
SHDC214A,0,small_intestine
SHDC239A,0,small_intestine
SHDC23A,0,small_intestine
SHDC245A,0,small_intestine
SHDC247A,0,small_intestine
SHDC249A,0,small_intestine
SHDC260A,0.127961,small_intestine
SHDC262A,0,small_intestine
SHDC285A,0,small_intestine
SHDC288A,0,small_intestine
SHDC294A,0,small_intestine
SHDC298A,0,small_intestine
SHDC301A,0,small_intestine
SHDC302A,0,small_intestine
SHDC34A,0,small_intestine
SHDC39A,0,small_intestine
SHDC46A,0.203189,small_intestine
SHDC47A,0,small_intestine
SHDC58A,0,small_intestine
SHDC61A,0,small_intestine
SHDC68A,0,small_intestine
SHDC78A,0,small_intestine
SHDC93A,0,small_intestine
SHIC104A,14.317116,small_intestine
SHIC107A,0.369555,small_intestine
SHIC111A,7.268322,small_intestine
SHIC11C,0.338148,small_intestine
SHIC12A,0.876212,small_intestine
SHIC139A,3.3967590000000003,small_intestine
SHIC141A,5.802767,small_intestine
SHIC14A,0.20231,small_intestine
SHIC154A,1.521619,small_intestine
SHIC157A,2.045429,small_intestine
SHIC170A,2.888618,small_intestine
