Sample,total_ARG_number,high_risk_ARG_number
SHCC229A,179,45
SHCC22A,20,14
SHCC230A,127,41
SHCC231A,130,45
SHCC232A,127,44
SHCC233A,37,21
SHCC234B,117,43
SHCC235A,141,38
SHCC236A,94,39
SHCC237A,56,27
SHCC238A,139,45
SHCC239A,47,25
SHCC23A,45,23
SHCC240A,106,38
SHCC241A,74,30
SHCC242A,138,47
SHCC243A,110,42
SHCC244A,101,34
SHCC245,60,29
SHCC245A,55,32
SHCC246A,117,39
SHCC247A,106,39
SHCC248A,97,36
SHCC249A,134,44
SHCC24A,109,38
SHCC250A,115,41
SHCC251B,125,39
SHCC252A,168,41
SHCC253A,82,39
SHCC254B,127,34
SHCC255B,99,38
SHCC256A,130,42
SHCC257A,83,38
SHCC258A,78,39
SHCC259A,101,39
SHCC25A,110,44
SHCC260A,77,36
SHCC260B,114,44
SHCC261A,100,39
SHCC262A,129,45
SHCC262B,159,62
SHCC263A,110,31
SHCC264A,120,33
SHCC265A,68,28
SHCC266B,160,42
SHCC267A,136,40
SHCC268A,108,30
SHCC269A,132,40
SHCC26B,114,30
SHCC270A,156,37
SHCC271B,127,37
SHCC272B,125,42
SHCC273B,127,44
SHCC274A,108,39
SHCC275A,58,29
SHCC276A,97,34
SHCC277A,78,34
SHCC278A,91,40
SHCC279A,107,39
SHCC27A,112,36
SHCC280A,31,15
SHCC281A,103,39
SHCC282A,81,32
SHCC283A,118,38
SHCC284A,50,23
SHCC285A,122,35
SHCC285B,173,54
SHCC286A,62,32
SHCC287A,124,36
SHCC288A,125,39
SHCC288B,140,45
SHCC289A,127,37
SHCC28B,64,31
SHCC290A,102,38
SHCC291A,32,20
SHCC292A,98,39
SHCC293A,69,34
SHCC294A,9,7
SHCC295A,31,17
SHCC296A,107,37
SHCC297B,160,37
SHCC298A,111,42
SHCC299B,126,36
SHCC29A,123,41
SHCC2A,40,24
SHCC300A,109,43
SHCC30A,81,32
SHCC31A,117,40
SHCC32A,88,33
SHCC33A,106,38
SHCC34A,70,35
SHCC35A,113,34
SHCC36A,97,36
SHCC37A,37,20
SHCC38A,111,38
SHCC39,144,57
SHCC39A,129,39
SHCC3A,114,36
SHCC40A,35,20
SHCC41A,110,39
SHCC42A,101,37
SHCC43A,108,41
SHCC44A,143,39
SHCC45A,111,37
SHCC46B,129,42
SHCC47A,110,39
SHCC48A,49,25
SHCC49A,96,36
SHCC4A,141,45
SHCC50A,112,42
SHCC51A,106,35
SHCC52A,60,26
SHCC53A,92,37
SHCC54A,118,43
SHCC55A,73,33
SHCC56A,94,40
SHCC57B,159,38
SHCC58A,84,36
SHCC58B,113,56
SHCC59A,57,28
SHCC5A,116,42
SHCC60A,49,26
SHCC61A,68,33
SHCC62A,88,36
SHCC63A,93,39
SHCC64A,100,30
SHCC65A,130,40
SHCC66A,121,45
SHCC67A,99,38
SHCC68A,78,33
SHCC69B,151,39
SHCC6A,96,39
SHCC70A,79,29
SHCC71A,107,39
SHCC72A,41,22
SHCC73A,128,40
SHCC74A,93,32
SHCC75A,103,35
SHCC76A,91,34
SHCC77B,109,42
SHCC78A,135,40
SHCC79A,92,36
SHCC7A,110,38
SHCC80A,91,34
SHCC81A,149,36
SHCC82A,139,37
SHCC83A,111,36
SHCC84A,91,32
SHCC85B,102,41
SHCC86A,117,38
SHCC87A,75,37
SHCC88B,76,31
SHCC89A,99,40
SHCC8A,95,38
SHCC90A,105,39
SHCC91A,94,42
SHCC92A,111,44
SHCC93A,82,34
SHCC94A,75,30
SHCC95A,126,37
SHCC96A,59,31
SHCC97A,69,31
SHCC98A,155,41
SHCC99A,107,40
SHCC9A,115,37
SHDC,6,2
SHDC11C,3,1
SHDC11E,4,1
SHDC14A,1,1
SHDC23A,1,1
SHIC,74,22
SHIC104A,17,9
SHIC107A,10,3
SHIC111A,70,14
SHIC12A,1,1
SHIC139A,4,3
