ARG_type,Duck_Risk_Level,Human_Risk_Level
H-NS,Risk V,Risk I
Klebsiella pneumoniae KpnE,Risk V,Risk V
Klebsiella pneumoniae KpnF,Risk V,Risk V
Klebsiella pneumoniae KpnG,Risk V,Risk V
Klebsiella pneumoniae KpnH,Risk V,Risk V
Klebsiella pneumoniae OmpK37,Risk V,Risk V
LlmA 23S ribosomal RNA methyltransferase,Risk V,Risk V
OXA-136,Risk V,Risk V
OXA-184,Risk V,Risk V
OXA-21,Risk V,Risk II
OXA-58,Risk V,Risk V
PmrF,Risk V,Risk I
SHV-11,Risk V,Risk II
TolC,Risk V,Risk I
Vibrio cholerae varG,Risk V,Risk V
YojI,Risk V,Risk I
aadA11,Risk V,Risk III
aadK,Risk V,Risk IV
abeS,Risk V,Risk III
acrB,Risk V,Risk I
acrD,Risk V,Risk I
adeF,Risk V,Risk I
adeL,Risk V,Risk III
almG,Risk V,Risk V
aphA15,Risk V,Risk IV
apmA,Risk V,Risk V
bacA,Risk V,Risk I
baeR,Risk V,Risk I
baeS,Risk V,Risk I
catA4,Risk V,Risk V
catII from Escherichia coli K-12,Risk V,Risk V
catS,Risk V,Risk V
cmeR,Risk V,Risk V
cpxA,Risk V,Risk I
dfrA19,Risk V,Risk IV
dfrE,Risk V,Risk III
efmA,Risk V,Risk I
efrA,Risk V,Risk I
emrA,Risk V,Risk I
emrK,Risk V,Risk I
emrR,Risk V,Risk I
emrY,Risk V,Risk I
eptA,Risk V,Risk I
evgA,Risk V,Risk I
evgS,Risk V,Risk I
fosA5,Risk V,Risk III
fusD,Risk V,Risk V
gadX,Risk V,Risk I
golS,Risk V,Risk III
kdpE,Risk V,Risk I
lnuB,Risk V,Risk IV
lnuD,Risk V,Risk V
marA,Risk V,Risk I
mdtA,Risk V,Risk II
mdtB,Risk V,Risk II
mdtC,Risk V,Risk II
mdtE,Risk V,Risk I
mdtF,Risk V,Risk I
mdtG,Risk V,Risk I
mdtH,Risk V,Risk I
mdtM,Risk V,Risk I
mdtN,Risk V,Risk II
mdtO,Risk V,Risk II
mdtP,Risk V,Risk II
mecA,Risk V,Risk I
mecB,Risk V,Risk III
mphA,Risk V,Risk I
mphE,Risk V,Risk I
mphK,Risk V,Risk V
msbA,Risk V,Risk II
oqxA,Risk V,Risk I
patB,Risk V,Risk I
ramA,Risk V,Risk I
sdiA,Risk V,Risk I
sul3,Risk V,Risk III
sul4,Risk V,Risk IV
tet(36),Risk V,Risk V
tet(59),Risk V,Risk IV
tet(D),Risk V,Risk I
tet(T),Risk V,Risk V
tet(Z),Risk V,Risk III
tetB(P),Risk V,Risk II
tmrB,Risk V,Risk V
ugd,Risk V,Risk I
vanC,Risk V,Risk IV
vanF,Risk V,Risk V
vanG,Risk V,Risk IV
vanHF,Risk V,Risk V
vanRC,Risk V,Risk IV
vanRG,Risk V,Risk III
vanTC,Risk V,Risk V
vanTG,Risk V,Risk V
vanUG,Risk V,Risk V
vanWB,Risk V,Risk III
vanWG,Risk V,Risk V
vanWI,Risk V,Risk V
vanXF,Risk V,Risk V
vanXYC,Risk V,Risk V
vanXYG,Risk V,Risk V
vanYA,Risk V,Risk IV
vanYF,Risk V,Risk V
vanYM,Risk V,Risk V
ykkC,Risk V,Risk V
ykkD,Risk V,Risk IV
OXA-140,Risk V,Risk V
aadA15,Risk V,Risk III
AAC(6')-Il,Risk V,Risk V
clbC,Risk V,Risk V
QnrB6,Risk V,Risk II
lnuE,Risk V,Risk V
lnuF,Risk V,Risk V
vanXA,Risk V,Risk IV
vanXI,Risk V,Risk IV
vanXO,Risk V,Risk IV
vanHO,Risk V,Risk V
ErmY,Risk V,Risk V
Erm(34),Risk V,Risk V
emtA,Risk V,Risk IV
vanXYE,Risk V,Risk V
tet(X3),Risk V,Risk I
catB11,Risk V,Risk IV
APH(6)-Ic,Risk V,Risk II
dfrA6 from Proteus mirabilis,Risk V,Risk V
aadA27,Risk V,Risk V
rgt1438,Risk V,Risk V
RCP-1,Risk V,Risk V
Corynebacterium striatum tetA,Risk V,Risk V
rmtB,Risk V,Risk III
armA,Risk V,Risk V
CMY-59,Risk V,Risk V
Acinetobacter baumannii AmvA,Risk V,Risk V
ANT(4')-Ib,Risk V,Risk I
FusF,Risk V,Risk V
AAC(3)-VIIa,Risk V,Risk V
AAC(6')-Iaj,Risk V,Risk V
dfrA16,Risk V,Risk IV
aadA9,Risk V,Risk V
cfrC,Risk V,Risk IV
QnrD1,Risk V,Risk V
ICR-Mo,Risk V,Risk V
dfrD,Risk V,Risk IV
TRU-1,Risk V,Risk V
RbpA,Risk V,Risk V
fusC,Risk V,Risk IV
vanRI,Risk V,Risk III
AAC(6')-Ib',Risk V,Risk IV
AAC(6')-Ib7,Risk V,Risk I
Rhodobacter sphaeroides ampC beta-lactamase,Risk V,Risk V
ANT(3'')-IIb,Risk V,Risk V
dfrA20,Risk V,Risk V
Erm(48),Risk V,Risk V
tet(33),Risk V,Risk II
arr-8,Risk V,Risk V
QnrA3,Risk V,Risk V
QnrVC5,Risk V,Risk IV
PC1 beta-lactamase (blaZ),Risk V,Risk V
BRO-2,Risk V,Risk V
FosK,Risk V,Risk V
mphF,Risk V,Risk IV
OXA-334,Risk V,Risk III
mphG,Risk V,Risk V
mphO,Risk V,Risk V
