MAG	p.adj	live_rate	Group
MAG16404	0.00027	0.205387205	MAGs from other families
MAG14299	0.00028	0.518518519	MAGs from other families
MAG18080	0.00028	0.616161616	MAGs from other families
MAG3603	0.00028	0.767676768	MAGs from Phocaeicola
MAG7385	0.00028	0.986531987	MAGs from Phocaeicola
MAG13538	0.00029	0.750841751	MAGs from Phocaeicola
MAG1637	0.00029	0.531986532	MAGs from other families
MAG1923	0.00029	0.269360269	MAGs from other families
MAG2690	0.00029	0.929292929	MAGs from other genus in Bacteroidaceae
MAG347	0.00029	0.750841751	MAGs from Phocaeicola
MAG5462	0.00029	0.996632997	MAGs from Phocaeicola
MAG9395	0.00029	0.868686869	MAGs from other families
MAG12589	3e-04	0.491582492	MAGs from other families
MAG5967	3e-04	0.902356902	MAGs from Phocaeicola
MAG15524	0.00031	0.912457912	MAGs from Phocaeicola
MAG8324	0.00032	0.905723906	MAGs from Phocaeicola
MAG22997	0.00033	0.410774411	MAGs from other families
MAG17402	0.00034	0.845117845	MAGs from other families
MAG19892	0.00034	0.956228956	MAGs from Phocaeicola
MAG21120	0.00034	0.794612795	MAGs from other genus in Bacteroidaceae
MAG4312	0.00034	0.898989899	MAGs from Phocaeicola
MAG6214	0.00034	0.451178451	MAGs from Phocaeicola
MAG12416	0.00035	0.939393939	MAGs from other families
MAG20661	0.00035	0.572390572	MAGs from other genus in Bacteroidaceae
MAG1495	0.00036	0.898989899	MAGs from Phocaeicola
MAG20351	0.00036	0.983164983	MAGs from Phocaeicola
MAG3117	0.00036	0.535353535	MAGs from Phocaeicola
MAG22358	0.00037	0.956228956	MAGs from Phocaeicola
MAG5519	0.00037	0.212121212	MAGs from other families
MAG6489	0.00037	0.976430976	MAGs from Phocaeicola
MAG13102	0.00038	0.966329966	MAGs from Phocaeicola
MAG16325	0.00038	0.902356902	MAGs from Phocaeicola
MAG16852	0.00038	0.949494949	MAGs from Phocaeicola
MAG22377	0.00038	0.589225589	MAGs from Phocaeicola
MAG22464	0.00038	0.61952862	MAGs from other families
MAG368	0.00039	0.973063973	MAGs from Phocaeicola
MAG9916	0.00039	0.96969697	MAGs from Phocaeicola
MAG11835	4e-04	0.818181818	MAGs from other families
MAG21535	4e-04	0.69023569	MAGs from other families
MAG3994	4e-04	0.774410774	MAGs from other families
MAG4285	4e-04	0.781144781	MAGs from other families
MAG11065	0.00041	0.407407407	MAGs from other families
MAG1120	0.00041	0.67003367	MAGs from Phocaeicola
MAG22683	0.00041	0.794612795	MAGs from other families
MAG9707	0.00041	0.562289562	MAGs from other families
MAG3067	0.00042	0.98989899	MAGs from Phocaeicola
MAG13361	0.00043	0.535353535	MAGs from other genus in Bacteroidaceae
MAG21058	0.00043	0.383838384	MAGs from other genus in Bacteroidaceae
MAG5711	0.00043	0.841750842	MAGs from other families
MAG805	0.00043	0.437710438	MAGs from other families
MAG812	0.00043	0.585858586	MAGs from Phocaeicola
MAG11950	0.00044	0.582491582	MAGs from other genus in Bacteroidaceae
MAG5644	0.00044	0.727272727	MAGs from other families
MAG7395	0.00044	0.898989899	MAGs from Phocaeicola
MAG5698	0.00045	0.986531987	MAGs from Phocaeicola
MAG21437	0.00047	0.774410774	MAGs from other genus in Bacteroidaceae
MAG2220	0.00047	0.696969697	MAGs from other families
MAG2846	0.00047	0.925925926	MAGs from Phocaeicola
MAG4586	0.00048	0.673400673	MAGs from Phocaeicola
MAG22384	0.00049	0.986531987	MAGs from other families
MAG4084	0.00049	0.720538721	MAGs from other families
MAG683	5e-04	0.616161616	MAGs from other families
MAG7476	5e-04	0.451178451	MAGs from other families
MAG14642	0.00051	0.525252525	MAGs from other families
MAG3338	0.00051	0.646464646	MAGs from other families
MAG12143	0.00052	0.397306397	MAGs from other families
MAG22031	0.00052	0.636363636	MAGs from other families
MAG21000	0.00053	0.754208754	MAGs from other families
MAG592	0.00053	0.71043771	MAGs from other families
MAG781	0.00053	0.986531987	MAGs from Phocaeicola
MAG8361	0.00053	0.973063973	MAGs from Phocaeicola
MAG716	0.00054	0.912457912	MAGs from Phocaeicola
MAG8745	0.00054	0.515151515	MAGs from other families
MAG15774	0.00055	0.666666667	MAGs from other genus in Bacteroidaceae
MAG17189	0.00055	0.946127946	MAGs from Phocaeicola
MAG480	0.00056	0.228956229	MAGs from other families
MAG13432	0.00057	0.942760943	MAGs from Phocaeicola
MAG5373	0.00057	0.582491582	MAGs from other families
MAG7360	0.00057	0.646464646	MAGs from other families
MAG7498	0.00057	0.784511785	MAGs from Phocaeicola
MAG13106	0.00058	0.632996633	MAGs from other genus in Bacteroidaceae
MAG14349	0.00058	0.63973064	MAGs from Phocaeicola
MAG341	0.00058	0.868686869	MAGs from other genus in Bacteroidaceae
MAG21018	0.00059	0.885521886	MAGs from Phocaeicola
MAG2718	0.00059	0.336700337	MAGs from Phocaeicola
MAG4047	0.00059	0.521885522	MAGs from other families
MAG15238	6e-04	0.353535354	MAGs from other families
MAG16562	6e-04	0.956228956	MAGs from Phocaeicola
MAG5648	6e-04	0.272727273	MAGs from other families
MAG13043	0.00062	0.34006734	MAGs from other families
MAG4450	0.00062	0.952861953	MAGs from other families
MAG9931	0.00062	0.612794613	MAGs from other families
MAG11524	0.00063	0.632996633	MAGs from other families
MAG18725	0.00063	0.508417508	MAGs from other families
MAG388	0.00063	0.727272727	MAGs from Phocaeicola
MAG5498	0.00063	0.808080808	MAGs from Phocaeicola
MAG13820	0.00064	0.976430976	MAGs from Phocaeicola
MAG19258	0.00064	0.962962963	MAGs from Phocaeicola
MAG20323	0.00064	0.730639731	MAGs from other families
MAG11310	0.00065	0.888888889	MAGs from Phocaeicola
MAG7518	0.00066	0.518518519	MAGs from other families
MAG1154	0.00067	0.535353535	MAGs from Phocaeicola
MAG7436	0.00067	0.952861953	MAGs from Phocaeicola
MAG14009	0.00068	0.851851852	MAGs from other families
MAG15378	0.00068	0.478114478	MAGs from other families
MAG10322	0.00069	0.346801347	MAGs from other families
MAG22775	0.00069	0.552188552	MAGs from Phocaeicola
MAG4715	0.00069	0.865319865	MAGs from other families
MAG460	7e-04	0.808080808	MAGs from other families
MAG4777	7e-04	0.996632997	MAGs from Phocaeicola
MAG16064	0.00071	0.966329966	MAGs from Phocaeicola
MAG238	0.00072	0.515151515	MAGs from other families
MAG11060	0.00073	0.915824916	MAGs from Phocaeicola
MAG13196	0.00073	0.323232323	MAGs from other families
MAG19262	0.00073	0.430976431	MAGs from other families
MAG19805	0.00073	0.993265993	MAGs from Phocaeicola
MAG4616	0.00073	0.888888889	MAGs from Phocaeicola
MAG7531	0.00073	0.915824916	MAGs from Phocaeicola
MAG16778	0.00074	0.7003367	MAGs from other families
MAG19960	0.00074	1	MAGs from Phocaeicola
MAG19001	0.00075	0.535353535	MAGs from other families
MAG998	0.00075	0.97979798	MAGs from other families
MAG19869	0.00076	0.474747475	MAGs from other families
MAG16424	0.00078	0.585858586	MAGs from other families
MAG2760	8e-04	0.855218855	MAGs from other genus in Bacteroidaceae
MAG8967	8e-04	0.353535354	MAGs from other families
MAG16976	0.00081	0.535353535	MAGs from other families
MAG10836	0.00082	0.777777778	MAGs from other families
MAG18532	0.00082	0.259259259	MAGs from other families
