Breed,Best_Hit_ARO,Total_Abundance
JRD,AAC(6')-Ib-cr3,0.0015284375
JRD,AAC(6')-Ib-cr6,0.077710875
JRD,AAC(6')-Ib7,0.022644
JRD,AAC(6')-Ib8,0.0175385
JRD,AAC(6')-Ib9,0.0160390625
JRD,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,0.09584675000000001
JRD,AAC(6')-Ii,1.3539286875
JRD,AAC(6')-Iid,0.0313538125
JRD,AAC(6')-Il,0.0019770625
JRD,AAC(6')-Im,0.090765625
JRD,AAC(6')-Iy,0
JRD,ACI-1,0.0387111875
JRD,ACT-56,0
JRD,ACT-77,0
JRD,ADC-43,0
JRD,ANT(2'')-Ia,0.0545135
JRD,ANT(3'')-IIa,0.24874893750000002
JRD,ANT(3'')-IIb,0.0362389375
JRD,ANT(4')-Ia,0.1402865
JRD,ANT(4')-Ib,0
JRD,ANT(6)-Ia,11.8768918125
JRD,ANT(6)-Ib,0.112931875
JRD,ANT(9)-Ia,0.0017269375
JRD,ANT(9)-Ib,0
JRD,APH(2'')-IIIa,0
JRD,APH(2'')-IIa,0
JRD,APH(2'')-Ie,0
JRD,APH(2'')-If,0.043253
JRD,APH(2'')-Ig,0
JRD,APH(3'')-Ib,0.3485
JRD,APH(3')-IIIa,7.7297781875
JRD,APH(3')-IIa,0.00308875
JRD,APH(3')-Ia,0.095747
JRD,APH(3')-Ib,0
JRD,APH(3')-VIIa,0
JRD,APH(3')-VIa,0.0026326875
JRD,APH(4)-Ia,0
JRD,APH(6)-Ic,0.0083655
JRD,APH(6)-Id,0.005514437499999999
JRD,Acinetobacter baumannii AbaQ,0
JRD,Acinetobacter baumannii AmvA,0
JRD,AcrE,1.0719171875
JRD,AcrS,1.0839079375
JRD,ArnT,1.754427375
JRD,BLMT,0.053846375
JRD,BRO-2,0
JRD,BRP(MBL),0
JRD,BcI,0
JRD,BcIII,0
JRD,Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,0
JRD,CARB-3,0.004907937500000001
JRD,CARB-4,0
JRD,CARB-8,0.019206625
JRD,CARB-9,0
JRD,CDD-2,0
JRD,CMH-4,0
JRD,CMY-59,0
JRD,CTX-M-55,0.007619
JRD,CTX-M-65,0
JRD,Campylobacter coli chloramphenicol acetyltransferase,0.502608625
JRD,Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,0
JRD,CblA-1,0
JRD,CcrA,0
JRD,CfxA6,1.9375e-6
