Sample,Total_high_risk_ARG_abundance,Total_ARG_abundance,source
FJY29A,380.651066,763.682096,Duck
FJY2A,418.783732,1132.022399,Duck
FJY30A,312.055761,547.865757,Duck
FJY32B,161.256021,433.362045,Duck
FJY35A,39.91082,104.076097,Duck
FJY37A,419.320468,1093.810174,Duck
FJY3A,341.090745,678.967213,Duck
FJY43B,149.429069,412.380134,Duck
FJY44A,336.405881,912.482221,Duck
FJY45A,48.170022,173.048334,Duck
FJY4A,291.633569,849.442334,Duck
FJY52A,544.356057,1251.421117,Duck
FJY53A,375.811295,1275.387056,Duck
FJY59A,54.372587,114.201765,Duck
FJY5A,263.489201,817.727639,Duck
FJY61B,184.748459,485.369775,Duck
FJY63B,87.211283,245.803093,Duck
FJY64B,472.988657,1296.886838,Duck
FJY65A,149.126112,355.651042,Duck
FJY69A,516.054753,1040.071769,Duck
FJY6B,140.582988,440.562474,Duck
FJY73A,208.107399,535.985276,Duck
FJY74A,335.652104,905.850435,Duck
FJY75A,272.637204,783.54379,Duck
FJY78B,145.213374,356.869302,Duck
FJY79A,141.641118,353.032527,Duck
FJY7A,287.214463,743.391276,Duck
FJY80B,308.079004,646.732736,Duck
FJY8A,311.736257,880.816791,Duck
FJY9B,511.452834,1127.804598,Duck
FM13B,138.844076,398.249909,Duck
FM14A,140.053769,383.840126,Duck
FM15B,155.611125,422.884525,Duck
FM17B,367.274528,757.611722,Duck
FM18B,245.81435,568.797075,Duck
FM1B,193.386493,484.199028,Duck
FM21A,181.867931,422.137109,Duck
FM2B,141.324724,350.079796,Duck
FM3B,159.202659,470.111351,Duck
FM4B,117.477118,323.622934,Duck
FM5B,348.81043,689.164129,Duck
FM6B,98.14254,331.877187,Duck
FM7B,157.754114,392.298108,Duck
FM8B,84.328919,325.893262,Duck
GCH111B,52.945536,122.181475,Duck
GCH112A,10.788663,29.138957,Duck
GCH119A,0,0.263699,Duck
GCH151B,2.721253,7.231871,Duck
GCH156B,9.673456,21.536516,Duck
GCH162B,1.263759,4.515078,Duck
GCH186B,137.507575,672.98413,Duck
GCH206A,3.251863,9.976312,Duck
GCH209B,65.840291,236.436603,Duck
GCH212B,108.1736,493.814596,Duck
GCH221A,15.718045,107.42737,Duck
GCH227B,78.478777,238.641194,Duck
GCH250A,0.276445,3.582882,Duck
GCH251A,12.927011,76.986298,Duck
GCH263A,0.185626,1.358279,Duck
GCH277A,20.604443,111.943002,Duck
GCH294A,4.341116,26.337504,Duck
GCH295A,4.335756,31.375834,Duck
GCH323A,0,0.120128,Duck
GCH324A,2.499874,7.507353,Duck
GCH325A,11.200994,32.879395,Duck
GCH326A,2.694414,14.602793,Duck
GCH340A,0.399469,1.71067,Duck
GCH346A,0.647267,5.248549,Duck
GCH74A,0.144908,1.027812,Duck
ICH108-1A,0.137971,0.524495,Duck
ICH111-1A,0,0,Duck
ICH112-1A,0,0,Duck
ICH119-1A,0,0,Duck
ICH127-1A,0.130227,0.130227,Duck
ICH150-1A,1.608384,6.310871,Duck
ICH151-1A,2.430396,5.053151,Duck
ICH180-1A,23.789001,90.797497,Duck
ICH206-1A,0.97886,0.97886,Duck
ICH210-1A,2.354647,10.288642,Duck
ICH221-1A,0.402432,0.935002,Duck
ICH227-1A,18.496052,64.260986,Duck
ICH247-1A,132.687157,651.338576,Duck
ICH250-1A,0.420338,0.923502,Duck
