Sample,total_abundance,gut_locations
SHCC285A,293.051469,large_intestine
FJY3A,293.027384,Feces
SRR29536177,292.735542,large_intestine
SRR29449381,291.836234,large_intestine
SHCC272B,291.230451,large_intestine
CCH186-1A,290.954404,large_intestine
BKDN170795573-1A,290.731169,Feces
SRR29429272,290.305325,large_intestine
FDM26A,290.243424,Feces
FM5B,290.104024,Feces
BKDN170795572-1A,289.471176,Feces
FDM5B,288.644858,Feces
SHCC196A,288.571403,large_intestine
BKDN170795575-1A,287.628056,Feces
SHCC82A,287.512903,large_intestine
FH326B,287.275599,Feces
SHCC65A,287.105994,large_intestine
CCY26A,286.796047,large_intestine
FDM7A,286.529926,Feces
SHCC167A,286.246967,large_intestine
SHCC288A,285.35359,large_intestine
BKDN170794057-1A,285.289269,Feces
BKDN170794548-1A,284.507095,Feces
SRR29429270,283.956573,large_intestine
SHCC1A,283.874167,large_intestine
BKDN170794393-1A,283.756677,Feces
BKDN170794001-1A,283.747779,Feces
BKDN170796245-1A,283.50208,Feces
SHCC274A,282.784142,large_intestine
SHCC204B,281.379191,large_intestine
CCY9B,281.070074,large_intestine
BKDN170794065-1A,280.946585,Feces
FH74B,280.19667,Feces
SRR29449375,279.536519,large_intestine
CCH258A,278.822921,large_intestine
CCY25B,278.295837,large_intestine
SHCC54A,277.848752,large_intestine
BKDN170794326-1A,277.817565,Feces
SHCC44A,276.291517,large_intestine
BKDN170795837-1A,276.215368,Feces
BKDN170795907-1A,275.627517,Feces
SHCC227A,275.490841,large_intestine
SHCC243A,275.346315,large_intestine
SHCC185B,275.243444,large_intestine
BKDN170795740-1A,274.376526,Feces
CCY6A,274.26997,large_intestine
BKDN170793907-1A,274.203176,Feces
SHCC289A,273.924548,large_intestine
CCH326A,273.121842,large_intestine
CCH157-2B,273.10043,large_intestine
BKDN170793833-1A,272.836074,Feces
BKDN170795910-1A,272.785921,Feces
BKDN170794152-1A,272.711719,Feces
BKDN170794002-1A,272.213036,Feces
SHCC262A,272.12851,large_intestine
SHCC5A,271.938788,large_intestine
SHCC217A,271.744019,large_intestine
SRR28497695,271.625419,large_intestine
JCH157-1A,271.126872,small_intestine
CCH328A,270.154324,large_intestine
BKDN170794385-1A,269.800708,Feces
SHCC86A,269.691577,large_intestine
SHCC33A,269.546789,large_intestine
BKDN170796000-1A,269.464243,Feces
SHCC57B,269.368462,large_intestine
SHCC199A,269.115706,large_intestine
SRR29449374,268.959092,large_intestine
SHCC83A,268.807931,large_intestine
BKDN170795574-1A,268.681836,Feces
SHCC7A,268.287306,large_intestine
SHCC15A,267.652441,large_intestine
CCY34B,267.598294,large_intestine
SHCC51A,267.537814,large_intestine
BKDN170793993-1A,267.411694,Feces
SHCC99A,266.814349,large_intestine
BKDN170795146-1A,265.954589,Feces
SHCC39A,265.215298,large_intestine
BKDN170794331-1A,265.096831,Feces
SHCC271B,264.812708,large_intestine
FJY1A,264.676916,Feces
SRR29536185,264.230198,large_intestine
SHCC281A,263.515483,large_intestine
SHCC252A,263.244574,large_intestine
FDM1B,262.899651,Feces
FDM6A,262.801504,Feces
BKDN170794066-1A,262.482972,Feces
SHCC175A,261.974126,large_intestine
SHCC251B,261.956891,large_intestine
SHCC261A,261.62485,large_intestine
SHCC179A,261.523779,large_intestine
SHCC35A,261.522101,large_intestine
BKDN170793903-1A,261.126214,Feces
SHCC141A,261.067114,large_intestine
SHCC226A,260.918537,large_intestine
BKDN170795911-1A,260.580642,Feces
FJY4A,260.128768,Feces
SHCC265A,260.051049,large_intestine
SHCC191A,260.00529,large_intestine
BKDN170795745-1A,259.788059,Feces
SHCC105A,259.332338,large_intestine
FJY16B,259.117912,Feces
CCY50A,258.815392,large_intestine
FJY13B,258.273668,Feces
SHCC181A,257.727337,large_intestine
SRR21163419,257.314318,large_intestine
BKDN170793892-1A,257.269182,Feces
SHCC212A,257.132854,large_intestine
SRR29449364,257.080246,large_intestine
SHCC201A,256.581726,large_intestine
FDM16A,256.043319,Feces
SHCC206A,255.873057,large_intestine
FH328A,255.854227,Feces
CCH325-1A,255.72393,large_intestine
SHCC41A,254.946362,large_intestine
SHCC9A,254.648956,large_intestine
BKDN170793904-1A,254.636957,Feces
SHCC249A,254.516715,large_intestine
BKDN170794056-1A,254.449221,Feces
SHCC26B,254.356687,large_intestine
CCH57A,253.923218,large_intestine
CCH247A,253.862595,large_intestine
SHCC47A,253.83957,large_intestine
CCH295-1A,253.547031,large_intestine
SRR29449380,253.329408,large_intestine
BKDN170794164-1A,253.083946,Feces
CCY37A,252.098833,large_intestine
SHCC139A,251.953027,large_intestine
SHCC242A,251.902862,large_intestine
SHCC98A,251.572903,large_intestine
SHCC228A,251.259462,large_intestine
SHCC42A,250.438013,large_intestine
CCY17A,250.376266,large_intestine
SRR29409652,250.072427,large_intestine
SHCC162A,249.733801,large_intestine
FH108B,249.428854,Feces
