ARGs_type,Duck_Risk_Level,Human_Risk_Level
APH(3')-VIIa,Risk V,Risk IV
OXA-184,Risk V,Risk V
FusF,Risk V,Risk V
Corynebacterium striatum tetA,Risk V,Risk V
APH(2'')-Ig,Risk V,Risk III
vanXB,Risk V,Risk III
vanXYN,Risk V,Risk V
dfrA6 from Proteus mirabilis,Risk V,Risk V
BcI,Risk V,Risk II
armA,Risk V,Risk V
aadA27,Risk V,Risk V
dfrA19,Risk V,Risk IV
APH(2'')-IIa,Risk V,Risk III
AAC(3)-VIIa,Risk V,Risk V
TRU-1,Risk V,Risk V
tmrB,Risk V,Risk V
ICR-Mo,Risk V,Risk V
QnrVC5,Risk V,Risk IV
mecB,Risk V,Risk III
PC1 beta-lactamase (blaZ),Risk V,Risk V
APH(3')-Ib,Risk V,Risk III
aadK,Risk V,Risk IV
FosK,Risk V,Risk V
CARB-8,Risk V,Risk V
dfrA20,Risk V,Risk V
catB11,Risk V,Risk IV
Vibrio cholerae varG,Risk V,Risk V
DHA-1,Risk V,Risk IV
vanXA,Risk V,Risk IV
QnrA3,Risk V,Risk V
almG,Risk V,Risk V
adeL,Risk V,Risk III
CARB-9,Risk V,Risk V
BRO-2,Risk V,Risk V
aphA15,Risk V,Risk IV
catB2,Risk V,Risk IV
Erm(48),Risk V,Risk V
mphK,Risk V,Risk V
fusD,Risk V,Risk V
fusC,Risk V,Risk IV
OXA-334,Risk V,Risk III
CARB-4,Risk V,Risk V
RCP-1,Risk V,Risk V
vanXYE,Risk V,Risk V
vanRI,Risk V,Risk III
sul4,Risk V,Risk IV
vanE,Risk V,Risk V
mphF,Risk V,Risk IV
AAC(6')-Iaj,Risk V,Risk V
arr-8,Risk V,Risk V
ANT(4')-Ib,Risk V,Risk I
vanB,Risk V,Risk III
clbC,Risk V,Risk V
vanRB,Risk V,Risk III
rgt1438,Risk V,Risk V
Erm(34),Risk V,Risk V
mdtC,Risk V,Risk II
vanSB,Risk V,Risk III
