Sample,Breed,Application,Total_Abundance
SHCC33A,SRD,dual_type,535.946557
SHCC34A,SRD,dual_type,221.870468
SHCC35A,SRD,dual_type,537.038826
SHCC36A,SRD,dual_type,437.836387
SHCC37A,SRD,dual_type,228.199711
SHCC38A,SRD,dual_type,481.971795
SHCC39A,SRD,dual_type,520.569601
SHCC3A,SRD,dual_type,455.074566
SHCC40A,SRD,dual_type,146.838576
SHCC41A,SRD,dual_type,514.4648060000001
SHCC42A,SRD,dual_type,508.487104
SHCC43A,SRD,dual_type,452.111314
SHCC44A,SRD,dual_type,630.34036
SHCC45A,SRD,dual_type,562.944023
SHCC46B,SRD,dual_type,552.112013
SHCC47A,SRD,dual_type,530.579286
SHCC48A,SRD,dual_type,316.028841
SHCC49A,SRD,dual_type,433.464879
SHCC4A,SRD,dual_type,566.196568
SHCC50A,SRD,dual_type,479.145635
SHCC51A,SRD,dual_type,551.288311
SHCC52A,SRD,dual_type,390.774427
SHCC53A,SRD,dual_type,441.800649
SHCC54A,SRD,dual_type,524.000411
SHCC55A,SRD,dual_type,395.724591
SHCC56A,SRD,dual_type,449.71556
SHCC57B,SRD,dual_type,783.564909
SHCC58A,SRD,dual_type,419.444033
SHCC59A,SRD,dual_type,414.51059599999996
SHCC5A,SRD,dual_type,544.996607
SHCC60A,SRD,dual_type,370.722838
SHCC61A,SRD,dual_type,391.987388
SHCC62A,SRD,dual_type,287.775421
SHCC63A,SRD,dual_type,385.807257
SHCC64A,SRD,dual_type,368.212075
SHCC65A,SRD,dual_type,596.57056
SHCC66A,SRD,dual_type,491.519617
SHCC67A,SRD,dual_type,440.22632
SHCC68A,SRD,dual_type,374.022812
SHCC69B,SRD,dual_type,539.660941
SHCC6A,SRD,dual_type,411.822912
SHCC70A,SRD,dual_type,414.936551
SHCC71A,SRD,dual_type,472.855946
SHCC72A,SRD,dual_type,285.537057
SHCC73A,SRD,dual_type,572.2343060000001
SHCC74A,SRD,dual_type,520.029924
SHCC75A,SRD,dual_type,522.780965
SHCC76A,SRD,dual_type,557.0456330000001
SHCC77B,SRD,dual_type,490.697652
SHCC78A,SRD,dual_type,518.881247
SHCC79A,SRD,dual_type,390.380717
SHCC7A,SRD,dual_type,547.767084
SHCC80A,SRD,dual_type,424.291734
SHCC81A,SRD,dual_type,519.826921
SHCC82A,SRD,dual_type,660.353449
SHCC83A,SRD,dual_type,515.656528
SHCC84A,SRD,dual_type,374.009228
SHCC85B,SRD,dual_type,465.42529
SHCC86A,SRD,dual_type,750.620756
SHCC87A,SRD,dual_type,408.317736
SHCC88B,SRD,dual_type,485.898383
SHCC89A,SRD,dual_type,447.755416
SHCC8A,SRD,dual_type,504.397218
SHCC90A,SRD,dual_type,473.833032
SHCC91A,SRD,dual_type,436.035406
SHCC92A,SRD,dual_type,486.059343
SHCC93A,SRD,dual_type,422.238916
SHCC94A,SRD,dual_type,386.074616
SHCC95A,SRD,dual_type,473.93192
SHCC96A,SRD,dual_type,321.016973
SHCC97A,SRD,dual_type,346.837219
SHCC98A,SRD,dual_type,477.430656
SHCC99A,SRD,dual_type,528.8991980000001
SHCC9A,SRD,dual_type,755.3051849999999
SRR28497695,MSD,meat_type,660.490854
SRR28497696,MSD,meat_type,1162.545151
SRR28497697,MSD,meat_type,951.356783
SRR28497698,MSD,meat_type,847.381464
SRR28497699,MSD,meat_type,990.075331
SRR28497700,MSD,meat_type,822.961786
SRR28497701,MSD,meat_type,1125.00845
SRR28497702,MSD,meat_type,691.586444
SRR28497703,MSD,meat_type,645.760265
SRR28497704,MSD,meat_type,993.157144
SRR29449358,PKD,meat_type,639.885924
SRR29449359,PKD,meat_type,574.035481
SRR29449360,PKD,meat_type,827.35669
SRR29449361,PKD,meat_type,725.9027120000001
SRR29449362,PKD,meat_type,702.527736
SRR29449363,PKD,meat_type,369.080221
SRR29449364,PKD,meat_type,488.782543
SRR29449369,PKD,meat_type,816.315348
SRR29449378,PKD,meat_type,810.256045
SRR29449379,PKD,meat_type,755.329712
SRR29449380,PKD,meat_type,508.586025
SRR29449381,PKD,meat_type,558.191475
SRR29449914,MAL,MAL,564.974575
SRR29449915,MAL,MAL,483.962429
SRR29449916,MAL,MAL,501.623632
SRR29449917,MAL,MAL,603.04065
SRR29449918,MAL,MAL,598.884308
SRR29449919,MAL,MAL,583.1369970000001
SRR29449920,MAL,MAL,588.583587
SRR29536163,MSD,meat_type,1236.3075020000001
SRR29536164,MSD,meat_type,1320.611067
SRR29536165,MSD,meat_type,1308.883149
SRR29536166,MSD,meat_type,1159.021217
SRR29536167,MSD,meat_type,1238.163911
SRR29536168,MSD,meat_type,1057.248965
SRR29536169,MSD,meat_type,1156.425445
SRR29536170,PKD,meat_type,548.263222
SRR29536171,PKD,meat_type,259.76601
SRR29536172,PKD,meat_type,137.603873
SRR29536174,PKD,meat_type,1538.006374
SRR29536175,PKD,meat_type,513.666115
SRR29536176,PKD,meat_type,831.197619
SRR29536177,PKD,meat_type,772.03009
SRR29536178,PKD,meat_type,256.99174700000003
SRR29536179,MSD,meat_type,1199.370884
SRR29536180,PKD,meat_type,614.805968
SRR29536181,PKD,meat_type,1126.901758
SRR29536182,MAL,MAL,1165.868733
SRR29536183,MAL,MAL,1161.431837
SRR29536185,MAL,MAL,470.364235
SRR29536186,MAL,MAL,584.963065
SRR29536187,MAL,MAL,706.64992
SRR29536188,MSD,meat_type,1313.250673
SRR29536189,MSD,meat_type,1235.50169
SRR29536190,MSD,meat_type,1146.285524
SRR29536191,MSD,meat_type,1166.318028
