mag,Family,Genus
SHCC243A_bin.10,f__UBA660,g__CALVVX01
SHCC243A_bin.14,f__Lachnospiraceae,g__Merdisoma
SHCC243A_bin.16,f__Nanosyncoccaceae,g__UBA2834
SHCC243A_bin.18,f__CALXOJ01,g__CALXOJ01
SHCC243A_bin.24,f__UBA1242,g__CALWPI01
SHCC243A_bin.27,f__Acutalibacteraceae,g__Eubacterium_R
SHCC243A_bin.34,f__Selenomonadaceae,g__Megamonas
SHCC243A_bin.35,f__Oscillospiraceae,g__Limivicinus
SHCC243A_bin.37,f__Acutalibacteraceae,g__Fimenecus
SHCC243A_bin.39,f__Coprobacteraceae,g__Coprobacter
SHCC243A_bin.40,f__Tannerellaceae,g__Parabacteroides
SHCC243A_bin.41,f__Burkholderiaceae_A,g__Aphodousia
SHCC243A_bin.46,f__Elusimicrobiaceae,g__UBA1436
SHCC243A_bin.47,f__Treponemataceae,g__DXHG01
SHCC243A_bin.48,f__Erysipelotrichaceae,g__JALEVB01
SHCC243A_bin.49,f__Ruminococcaceae,g__Faecalibacterium
SHCC243A_bin.53,f__UBA932,g__Cryptobacteroides
SHCC243A_bin.55,f__Bacteroidaceae,g__Prevotella
SHCC243A_bin.56,f__Rikenellaceae,g__Alistipes
SHCC243A_bin.59,f__Bacteroidaceae,g__43-108
SHCC243A_bin.60,f__Bacteroidaceae,g__Prevotella
SHCC243A_bin.61,f__Lachnospiraceae,g__Blautia
SHCC243A_bin.62,f__CAG-917,g__CAG-917
SHCC243A_bin.64,f__Oscillospiraceae,g__Enterenecus
SHCC243A_bin.67,f__DTU072,g__Stercoripulliclostridium
SHCC243A_bin.68,f__Lachnospiraceae,g__Mediterraneibacter
SHCC243A_bin.72,f__Rikenellaceae,g__Alistipes
SHCC243A_bin.80,f__Bacteroidaceae,g__Mediterranea
SHCC243A_bin.81,f__Desulfovibrionaceae,g__Desulfovibrio
SHCC243A_bin.82,f__Lachnospiraceae,g__Lachnoclostridium_B
SHCC243A_bin.9,f__Ruminococcaceae,g__Faecalibacterium
SHCC244A_bin.13,f__Borkfalkiaceae,g__Coproplasma
SHCC244A_bin.15,f__Barnesiellaceae,g__Barnesiella
SHCC244A_bin.16,f__Ruminococcaceae,g__Anaerofilum
SHCC244A_bin.17,f__Bacteroidaceae,g__Prevotella
SHCC244A_bin.19,f__Ruminococcaceae,g__RGIG3102
SHCC244A_bin.21,f__Mucispirillaceae,g__Mucispirillum
SHCC244A_bin.25,f__Mucispirillaceae,unknown
SHCC244A_bin.26,f__CAG-314,g__Fimimonas
SHCC244A_bin.27,f__Coprobacillaceae,g__Faecalibacillus
SHCC244A_bin.3,f__UBA1242,g__UBA6345
SHCC244A_bin.32,f__CAG-917,g__CAG-917
SHCC244A_bin.33,f__Ruminococcaceae,g__Faecalibacterium
SHCC244A_bin.36,f__CAG-239,g__HGM16780
SHCC244A_bin.4,f__Tannerellaceae,g__Parabacteroides
SHCC244A_bin.40,f__Ruminococcaceae,g__Negativibacillus
SHCC244A_bin.43,f__Acutalibacteraceae,g__Eubacterium_R
SHCC244A_bin.44,f__Acutalibacteraceae,g__UBA737
SHCC244A_bin.47,f__Lachnospiraceae,g__HGM12587
SHCC244A_bin.49,f__Ruminococcaceae,g__Faecalibacterium
SHCC244A_bin.51,f__Oscillospiraceae,g__Limivicinus
SHCC244A_bin.56,f__Borkfalkiaceae,g__Gallimonas
SHCC244A_bin.57,f__Oscillospiraceae,g__Enterenecus
SHCC244A_bin.61,f__Atopobiaceae,g__Thermophilibacter
SHCC244A_bin.62,f__Ruminococcaceae,g__Faecalibacterium
SHCC244A_bin.63,f__CAG-508,unknown
SHCC244A_bin.66,f__RUG14156,g__Galligastranaerophilus_A
SHCC244A_bin.67,f__Bacteroidaceae,g__Mediterranea
SHCC244A_bin.75,f__Acutalibacteraceae,g__CAG-557
SHCC244A_bin.76,f__Tannerellaceae,g__Parabacteroides
SHCC244A_bin.78,f__Oscillospiraceae,g__Faecousia
SHCC244A_bin.79,f__Helicobacteraceae,g__Helicobacter_D
SHCC244A_bin.8,f__Pumilibacteraceae,g__Protoclostridium
SHCC244A_bin.80,f__Mucispirillaceae,g__Mucispirillum
SHCC244A_bin.82,f__Acidaminococcaceae,g__CAG-266
SHCC245A_bin.1,f__Bacteroidaceae,g__Phocaeicola
SHCC245A_bin.3,f__Bacteroidaceae,g__Phocaeicola
SHCC245A_bin.7,f__Acidaminococcaceae,g__URXU01
SHCC245_bin_with_2dai_data_bin.1,f__Bacteroidaceae,g__Phocaeicola
SHCC245_bin_with_2dai_data_bin.10,f__Acutalibacteraceae,g__UMGS263
SHCC245_bin_with_2dai_data_bin.12,f__Anaerotignaceae,g__Fimicola
SHCC245_bin_with_2dai_data_bin.13,f__Oscillospiraceae,g__Avoscillospira_A
SHCC245_bin_with_2dai_data_bin.18,f__Acidaminococcaceae,g__URXU01
SHCC245_bin_with_2dai_data_bin.2,f__UBA3700,g__Ornithoclostridium
SHCC245_bin_with_2dai_data_bin.20,f__Anaerotignaceae,g__Anaerotignum
SHCC245_bin_with_2dai_data_bin.21,f__Selenomonadaceae,g__Megamonas
SHCC245_bin_with_2dai_data_bin.4,f__Mucispirillaceae,unknown
SHCC245_bin_with_2dai_data_bin.5,f__DTU072,g__Stercoripulliclostridium
SHCC245_bin_with_2dai_data_bin.8,f__Fusobacteriaceae,g__Fusobacterium_A
SHCC245_bin_with_2dai_data_bin.9,f__Mucispirillaceae,g__Mucispirillum
SHCC245_bin_with_3dai_data_bin.4,f__Mucispirillaceae,g__Mucispirillum
SHCC245_bin_with_3dai_data_bin.6,f__UBA3700,g__RACS-045
SHCC246A_bin.10,f__UBA932,g__Cryptobacteroides
SHCC246A_bin.100,f__Erysipelotrichaceae,g__Merdibacter
SHCC246A_bin.12,f__Ruminococcaceae,g__RGIG3102
SHCC246A_bin.14,f__Tannerellaceae,g__Parabacteroides
SHCC246A_bin.21,f__Anaerotignaceae,g__Anaerotignum
SHCC246A_bin.24,f__Barnesiellaceae,g__Barnesiella
SHCC246A_bin.25,f__UBA1242,g__CALVNY01
SHCC246A_bin.32,f__Ruminococcaceae,g__Faecalibacterium
SHCC246A_bin.34,f__Ruminococcaceae,g__Faecalibacterium
SHCC246A_bin.38,f__UBA3700,g__Ornithoclostridium
SHCC246A_bin.4,f__UBA660,g__RUG11867
SHCC246A_bin.49,f__UBA1242,g__CALVTO01
SHCC246A_bin.54,f__Acutalibacteraceae,g__UMGS263
SHCC246A_bin.57,f__Bacteroidaceae,g__Avibacteroides
SHCC246A_bin.58,f__UBA1820,g__Merdimorpha
SHCC246A_bin.59,f__CAG-74,g__Limiplasma
SHCC246A_bin.60,f__Ruminococcaceae,g__Anaerofilum
SHCC246A_bin.61,f__Ruminococcaceae,g__Faecalibacterium
SHCC246A_bin.62,f__Tannerellaceae,g__Parabacteroides
SHCC246A_bin.63,f__UBA1242,g__CALVTO01
SHCC246A_bin.65,f__Bacteroidaceae,g__Mediterranea
SHCC246A_bin.7,f__Coprobacteraceae,g__Coprobacter
SHCC246A_bin.70,f__Bacteroidaceae,g__43-108
SHCC246A_bin.73,f__UBA3700,g__Ornithoclostridium
SHCC246A_bin.78,f__UBA3700,g__Ornithoclostridium
SHCC246A_bin.79,f__Ruminococcaceae,g__Negativibacillus
SHCC246A_bin.80,f__Ruminococcaceae,g__Faecivivens
SHCC246A_bin.86,f__Tannerellaceae,g__Parabacteroides
SHCC246A_bin.9,f__DTU072,g__CAG-1782
SHCC246A_bin.93,f__Acidaminococcaceae,g__URXU01
SHCC246A_bin.94,f__Nanosyncoccaceae,g__Nanosyncoccus
SHCC246A_bin.96,f__Nanosyncoccaceae,g__Nanosyncoccus
SHCC246A_bin.98,f__Lachnospiraceae,g__Paralachnospira_A
SHCC247A_bin.1,f__UBA660,g__Faecimonas
SHCC247A_bin.12,f__CAG-977,g__UBA11549
SHCC247A_bin.14,f__CAG-917,g__Limadaptatus
SHCC247A_bin.15,f__Lachnospiraceae,g__Merdisoma
SHCC247A_bin.19,f__Erysipelotrichaceae,g__Merdibacter
SHCC247A_bin.2,f__Bacteroidaceae,g__Prevotella
SHCC247A_bin.31,f__Tannerellaceae,g__Parabacteroides
SHCC247A_bin.35,f__Ruminococcaceae,g__Anaerofilum
SHCC247A_bin.39,f__DTU072,g__CAG-1782
SHCC247A_bin.40,f__Ruminococcaceae,g__Faecalibacterium
SHCC247A_bin.48,f__Acutalibacteraceae,g__Eubacterium_R
SHCC247A_bin.52,f__Selenomonadaceae,g__Megamonas
SHCC247A_bin.56,f__UBA932,g__Cryptobacteroides
SHCC247A_bin.58,f__Tannerellaceae,g__Parabacteroides
SHCC247A_bin.60,f__Ruminococcaceae,g__Negativibacillus
SHCC247A_bin.61,f__Ruminococcaceae,g__Fournierella
SHCC247A_bin.7,f__Acutalibacteraceae,g__UBA1081
SHCC247A_bin.8,f__Oscillospiraceae,g__Faecousia
SHCC248A_bin.10,f__Oscillospiraceae,g__Pseudoflavonifractor_A
SHCC248A_bin.13,f__Ruminococcaceae,g__Anaerofilum
SHCC248A_bin.14,f__UBA660,g__RUG11867
SHCC248A_bin.16,f__Mucispirillaceae,g__Mucispirillum
SHCC248A_bin.17,f__Bacteroidaceae,g__Prevotella
SHCC248A_bin.18,f__Acutalibacteraceae,g__Fimenecus
SHCC248A_bin.2,f__Selenomonadaceae,g__Megamonas
SHCC248A_bin.27,f__Acutalibacteraceae,g__UBA1081
SHCC248A_bin.29,f__Muribaculaceae,g__Limisoma
SHCC248A_bin.3,f__Lachnospiraceae,g__Mediterraneibacter
SHCC248A_bin.30,f__Acutalibacteraceae,g__Limousia
SHCC248A_bin.34,f__Bacteroidaceae,g__Mediterranea
SHCC248A_bin.36,f__Anaerotignaceae,g__Metalachnospira
SHCC248A_bin.39,f__Rikenellaceae,g__Alistipes
SHCC248A_bin.41,f__Lachnospiraceae,g__Merdisoma
SHCC248A_bin.43,f__Oscillospiraceae,g__Flavonifractor
SHCC248A_bin.45,f__Tannerellaceae,g__Parabacteroides
SHCC248A_bin.48,f__Fusobacteriaceae,g__Fusobacterium_A
SHCC248A_bin.54,f__UBA660,g__Aphodocola
SHCC248A_bin.56,f__UBA932,g__JAGCJX01
SHCC248A_bin.58,f__Anaerovoracaceae,g__Gallibacter
SHCC248A_bin.59,f__Lachnospiraceae,g__Lachnoclostridium_B
SHCC248A_bin.6,f__Ruminococcaceae,g__Faecalibacterium
SHCC248A_bin.8,f__Gastranaerophilaceae,g__Limenecus
SHCC248A_bin.9,f__Ruminococcaceae,g__Faecalibacterium
SHCC249A_bin.10,f__Acidaminococcaceae,g__URXU01
SHCC249A_bin.11,f__Acutalibacteraceae,g__UMGS263
SHCC249A_bin.12,f__Bacteroidaceae,g__Phocaeicola_A
SHCC249A_bin.15,f__Oscillospiraceae,g__Lawsonibacter
SHCC249A_bin.17,f__Lachnospiraceae,g__Copromonas
SHCC249A_bin.18,f__CAG-239,g__51-20
SHCC249A_bin.19,f__UBA660,g__CALVVX01
SHCC249A_bin.21,f__Bacteroidaceae,g__Phocaeicola
SHCC249A_bin.24,f__UBA3700,g__MGBC101980
SHCC249A_bin.25,f__Tannerellaceae,g__Parabacteroides
SHCC249A_bin.27,f__Ruminococcaceae,g__Negativibacillus
SHCC249A_bin.28,f__Anaerotignaceae,g__Fimicola
SHCC249A_bin.3,f__Erysipelotrichaceae,g__JAHHTG01
SHCC249A_bin.30,f__Anaerotignaceae,g__Metalachnospira
SHCC249A_bin.32,f__Ruminococcaceae,g__CALXEN01
SHCC249A_bin.34,f__Butyricicoccaceae,g__Butyricicoccus
SHCC249A_bin.36,f__Anaerotignaceae,g__Anaerotignum
SHCC249A_bin.38,f__Ruminococcaceae,g__Anaerofilum
SHCC249A_bin.4,f__CAG-239,g__CAG-267
SHCC249A_bin.43,f__Acutalibacteraceae,unknown
SHCC249A_bin.44,f__Coprobacillaceae,g__Massilimicrobiota
SHCC249A_bin.45,f__Lachnospiraceae,unknown
SHCC249A_bin.48,f__Burkholderiaceae_A,g__Duodenibacillus
SHCC249A_bin.49,f__Fusobacteriaceae,g__Fusobacterium_A
SHCC249A_bin.5,f__Rikenellaceae,g__Alistipes
SHCC249A_bin.50,f__Acutalibacteraceae,g__Limousia
SHCC249A_bin.52,f__Tannerellaceae,g__Parabacteroides
SHCC249A_bin.56,f__Bacteroidaceae,g__Paraprevotella
SHCC249A_bin.58,f__Enterobacteriaceae,g__Escherichia
SHCC249A_bin.6,f__Oscillospiraceae,g__Dysosmobacter
SHCC249A_bin.62,f__Oscillospiraceae,g__Lawsonibacter
SHCC249A_bin.64,f__Bacteroidaceae,g__Prevotella
SHCC249A_bin.7,f__Tannerellaceae,g__Parabacteroides
SHCC24A_bin.11,f__Oscillospiraceae,g__Lawsonibacter
SHCC24A_bin.14,f__Acidaminococcaceae,g__URXU01
SHCC24A_bin.15,f__Tannerellaceae,g__Parabacteroides
SHCC24A_bin.18,f__CAG-508,g__CALXUC01
SHCC24A_bin.29,f__UBA932,g__CALUPD01
SHCC24A_bin.3,f__Tannerellaceae,g__Parabacteroides
SHCC24A_bin.34,f__Gastranaerophilaceae,g__Stercorousia
SHCC24A_bin.35,f__CAG-508,g__CAG-269
SHCC24A_bin.36,f__Ruminococcaceae,g__Anaerofilum
SHCC24A_bin.37,f__Acutalibacteraceae,g__Limousia
SHCC24A_bin.41,f__Anaerotignaceae,g__Metalachnospira
SHCC24A_bin.48,f__Bacteroidaceae,g__Mediterranea
SHCC24A_bin.49,f__Desulfovibrionaceae,g__Mailhella
SHCC24A_bin.51,f__Oscillospiraceae,g__Faecousia
SHCC24A_bin.52,f__UBA3700,g__Ornithoclostridium
SHCC24A_bin.54,f__Erysipelotrichaceae,g__Merdibacter
SHCC24A_bin.56,f__Fusobacteriaceae,g__Fusobacterium_A
SHCC24A_bin.6,f__Acutalibacteraceae,g__UMGS263
SHCC24A_bin.60,f__Anaeroplasmataceae,g__Anaeroplasma
SHCC24A_bin.61,f__Selenomonadaceae,g__Megamonas
SHCC24A_bin.67,f__Erysipelotrichaceae,g__JALEVB01
SHCC24A_bin.7,f__Ruminococcaceae,g__Faecivivens
SHCC250A_bin.14,f__Oscillospiraceae,g__Pseudoscilispira
SHCC250A_bin.2,f__Muribaculaceae,g__Limisoma
SHCC250A_bin.23,f__Ruminococcaceae,g__Faecalibacterium
SHCC250A_bin.24,f__Anaerotignaceae,g__Anaerotignum
SHCC250A_bin.25,f__Rs-D84,g__Enterousia
SHCC250A_bin.27,f__Bacteroidaceae,g__Mediterranea
SHCC250A_bin.29,f__UBA3700,g__Ornithoclostridium
SHCC250A_bin.34,f__UBA3700,g__RACS-045
SHCC250A_bin.35,f__Acutalibacteraceae,g__Fimenecus
SHCC250A_bin.4,f__Ruminococcaceae,g__Anaerofilum
SHCC250A_bin.43,f__CAG-239,g__CAG-267
SHCC250A_bin.47,f__Anaerotignaceae,g__Metalachnospira
SHCC250A_bin.48,f__Lachnospiraceae,g__Merdisoma
SHCC250A_bin.49,f__Acutalibacteraceae,g__Limousia
SHCC250A_bin.50,f__Bacteroidaceae,g__Phocaeicola
SHCC250A_bin.52,f__Ruminococcaceae,g__Negativibacillus
SHCC250A_bin.56,f__Gastranaerophilaceae,g__CAG-196
SHCC250A_bin.59,f__Bacteroidaceae,g__Phocaeicola
SHCC250A_bin.6,f__Acutalibacteraceae,g__UMGS263
SHCC250A_bin.8,f__Bacteroidaceae,g__Prevotella
SHCC251B_bin.10,f__UBA3700,g__Ornithoclostridium
SHCC251B_bin.100,f__Ruminococcaceae,g__RGIG3102
SHCC251B_bin.105,f__Lachnospiraceae,g__Choladocola
SHCC251B_bin.110,f__Ruminococcaceae,g__Faecivivens
SHCC251B_bin.114,f__Acutalibacteraceae,g__Limousia
SHCC251B_bin.122,f__CAG-508,unknown
SHCC251B_bin.124,f__Bacteroidaceae,g__Phocaeicola
SHCC251B_bin.126,f__Acutalibacteraceae,g__Eubacterium_R
SHCC251B_bin.128,f__UBA660,g__Scybalousia
SHCC251B_bin.15,f__Mucispirillaceae,g__Mucispirillum
SHCC251B_bin.2,f__Elusimicrobiaceae,g__UBA1436
SHCC251B_bin.21,f__Ruminococcaceae,g__JAFBIO01
SHCC251B_bin.22,f__Oscillospiraceae,g__Scatomorpha
SHCC251B_bin.23,f__Oscillospiraceae,g__Avoscillospira
SHCC251B_bin.25,f__Oscillospiraceae,g__Faecousia
SHCC251B_bin.27,f__Lachnospiraceae,g__Mediterraneibacter
SHCC251B_bin.40,f__Barnesiellaceae,g__Barnesiella
SHCC251B_bin.41,f__Oscillospiraceae,g__Enterenecus
SHCC251B_bin.45,f__UBA932,g__Cryptobacteroides
SHCC251B_bin.5,f__Ruminococcaceae,g__UBA3818
SHCC251B_bin.51,f__Borkfalkiaceae,g__Borkfalkia
SHCC251B_bin.52,f__CHK158-818,g__Gallibacteroides
SHCC251B_bin.53,f__Bacteroidaceae,g__Prevotella
SHCC251B_bin.6,f__Ruminococcaceae,g__Anaerofilum
SHCC251B_bin.60,f__CAG-239,g__CAZU01
SHCC251B_bin.62,f__UBA660,g__Onthocola_B
SHCC251B_bin.65,f__Ruminococcaceae,g__Negativibacillus
SHCC251B_bin.69,f__UBA1242,g__UBA5893
SHCC251B_bin.7,f__Tannerellaceae,g__Parabacteroides
SHCC251B_bin.72,f__Ruminococcaceae,g__Faecalibacterium
SHCC251B_bin.73,f__Ruminococcaceae,g__Fournierella
SHCC251B_bin.75,f__Lachnospiraceae,g__Mediterraneibacter
SHCC251B_bin.77,f__Rikenellaceae,g__Alistipes
SHCC251B_bin.78,f__Oscillospiraceae,g__Limivicinus
SHCC251B_bin.8,f__CAG-239,g__MGBC133411
SHCC251B_bin.80,f__Acidaminococcaceae,g__CAG-266
SHCC251B_bin.82,f__Desulfovibrionaceae,g__Mailhella
SHCC251B_bin.83,f__UBA932,g__CALUPD01
SHCC251B_bin.85,f__Ruminococcaceae,g__Faecivivens
SHCC251B_bin.86,f__Oscillospiraceae,g__Scatomorpha
SHCC251B_bin.9,f__UBA3700,g__Ornithoclostridium
SHCC251B_bin.91,f__Gastranaerophilaceae,g__UMGS1585
SHCC251B_bin.93,f__Acutalibacteraceae,g__Acutalibacter
SHCC251B_bin.94,f__Anaerotignaceae,g__Metalachnospira
SHCC251B_bin.96,f__Tannerellaceae,g__Parabacteroides
SHCC251B_bin.97,f__Rikenellaceae,g__Alistipes_A
SHCC252A_bin.10,f__Brachyspiraceae,g__Brachyspira
SHCC252A_bin.11,f__CAG-917,g__CAG-917
SHCC252A_bin.23,f__Acutalibacteraceae,g__Fimenecus
SHCC252A_bin.28,f__CAG-508,g__CAG-452
SHCC252A_bin.3,f__Acutalibacteraceae,g__Limousia
SHCC252A_bin.31,f__Elusimicrobiaceae,g__UBA1436
SHCC252A_bin.39,f__Tannerellaceae,g__Parabacteroides
SHCC252A_bin.4,f__UBA3700,g__RACS-045
SHCC252A_bin.41,f__Tannerellaceae,g__Parabacteroides
SHCC252A_bin.43,f__Muribaculaceae,g__Limisoma
SHCC252A_bin.44,f__Anaerotignaceae,g__Metalachnospira
SHCC252A_bin.47,f__Acutalibacteraceae,g__RGIG2774
SHCC252A_bin.55,f__Erysipelotrichaceae,g__Merdibacter
SHCC252A_bin.57,f__Bacteroidaceae,g__Mediterranea
SHCC252A_bin.58,f__UBA1242,g__Caccovivens
SHCC252A_bin.59,f__Enterobacteriaceae,g__Escherichia
SHCC252A_bin.61,f__UBA932,g__Cryptobacteroides
SHCC252A_bin.62,f__Erysipelotrichaceae,g__Merdibacter
SHCC252A_bin.63,f__Rikenellaceae,g__Alistipes
SHCC252A_bin.65,f__Oscillospiraceae,g__Avoscillospira_A
SHCC252A_bin.69,f__Oscillospiraceae,g__Faecousia
SHCC252A_bin.70,f__Selenomonadaceae,g__Megamonas
SHCC252A_bin.72,f__Bacteroidaceae,g__Phocaeicola
SHCC252A_bin.75,f__Tannerellaceae,g__Parabacteroides
SHCC252A_bin.78,f__Anaerovoracaceae,g__Mogibacterium
SHCC252A_bin.79,f__UBA932,g__Cryptobacteroides
SHCC252A_bin.80,f__Ruminococcaceae,g__Negativibacillus
SHCC252A_bin.81,f__UBA3700,g__Ornithoclostridium
SHCC252A_bin.84,f__CAG-917,g__Limadaptatus
SHCC252A_bin.85,f__Borkfalkiaceae,g__Borkfalkia
SHCC252A_bin.86,f__UBA1750,g__Spyradocola
SHCC252A_bin.87,f__Butyricicoccaceae,g__Agathobaculum
SHCC252A_bin.9,f__Rikenellaceae,g__Tidjanibacter
SHCC252A_bin.90,f__Bacteroidaceae,g__Mediterranea
SHCC252A_bin.91,f__Succinivibrionaceae,g__Anaerobiospirillum
SHCC252A_bin.99,f__CAG-272,g__Flemingibacterium
SHCC253A_bin.14,f__Tannerellaceae,g__Parabacteroides
SHCC253A_bin.15,f__Lachnospiraceae,g__Egerieimonas_A
SHCC253A_bin.17,f__Anaerotignaceae,g__Fimicola
SHCC253A_bin.2,f__Ruminococcaceae,g__Gemmiger
SHCC253A_bin.22,f__Peptostreptococcaceae,g__Peptacetobacter
SHCC253A_bin.24,f__Ruminococcaceae,g__Negativibacillus
SHCC253A_bin.25,f__Coprobacillaceae,g__Thomasclavelia
SHCC253A_bin.27,f__Barnesiellaceae,g__Barnesiella
SHCC253A_bin.29,f__Butyricicoccaceae,g__Butyricicoccus
SHCC253A_bin.30,f__Bacteroidaceae,g__Prevotella
SHCC253A_bin.31,f__Muribaculaceae,g__Limisoma
SHCC253A_bin.32,f__Tannerellaceae,g__Parabacteroides
SHCC253A_bin.34,f__Butyricicoccaceae,g__Butyricicoccus
SHCC253A_bin.36,f__Ruminococcaceae,g__Ruthenibacterium
SHCC253A_bin.38,f__Ruminococcaceae,g__Anaerofilum
SHCC253A_bin.39,f__Erysipelotrichaceae,g__JALEVB01
SHCC253A_bin.4,f__Butyricicoccaceae,g__Agathobaculum
SHCC253A_bin.7,f__Oscillospiraceae,g__Enterenecus
SHCC253A_bin.8,f__Tannerellaceae,g__Parabacteroides
SHCC254B_bin.1,f__Lachnospiraceae,g__Blautia
SHCC254B_bin.10,f__Eggerthellaceae,g__Slackia_A
SHCC254B_bin.11,f__Burkholderiaceae,g__Oxalobacter
SHCC254B_bin.17,f__Anaerovoracaceae,g__Gallibacter
SHCC254B_bin.2,f__UBA660,g__Fimihabitans
SHCC254B_bin.22,f__Bacteroidaceae,g__Phocaeicola_A
SHCC254B_bin.23,f__Acutalibacteraceae,g__Eubacterium_R
SHCC254B_bin.25,f__Tannerellaceae,g__Parabacteroides
SHCC254B_bin.28,f__Acutalibacteraceae,g__Eubacterium_R
SHCC254B_bin.3,f__UBA1381,g__Ornithomonoglobus
SHCC254B_bin.30,f__UBA660,g__CAG-877
SHCC254B_bin.31,f__Oscillospiraceae,g__Scatomorpha
SHCC254B_bin.33,f__Desulfovibrionaceae,g__Desulfovibrio
SHCC254B_bin.36,f__Oscillospiraceae,g__Faecousia
SHCC254B_bin.37,f__Acutalibacteraceae,g__Acutalibacter
SHCC254B_bin.38,f__Erysipelotrichaceae,g__JAHHTG01
SHCC254B_bin.4,f__UBA660,g__Aphodocola
SHCC254B_bin.44,f__Coriobacteriaceae,g__Collinsella
SHCC254B_bin.45,f__Anaerovoracaceae,g__Avanaerovorax
SHCC254B_bin.46,f__Erysipelotrichaceae,g__CALVGN01
SHCC254B_bin.47,f__Acutalibacteraceae,g__Limousia
SHCC254B_bin.49,f__Bacteroidaceae,g__43-108
SHCC254B_bin.52,f__Acutalibacteraceae,g__Acutalibacter
SHCC254B_bin.53,f__CAG-508,g__CAG-269
SHCC254B_bin.55,f__Anaerotignaceae,g__Metalachnospira
SHCC254B_bin.56,f__Ruminococcaceae,g__Negativibacillus
SHCC254B_bin.57,f__UBA660,g__CAG-605
SHCC254B_bin.58,f__Acutalibacteraceae,g__UBA1081
SHCC254B_bin.61,f__UBA1381,g__Ornithomonoglobus
SHCC254B_bin.62,f__Tannerellaceae,g__Parabacteroides
SHCC254B_bin.64,f__CAJFTT01,unknown
SHCC254B_bin.65,f__UBA932,g__Cryptobacteroides
SHCC254B_bin.66,f__Ruminococcaceae,g__RGIG3102
SHCC254B_bin.67,f__Acutalibacteraceae,g__Ruminococcus_E
SHCC254B_bin.68,f__Ruminococcaceae,g__Faecivivens
SHCC254B_bin.7,f__Acutalibacteraceae,g__Eubacterium_R
SHCC254B_bin.8,f__Tannerellaceae,g__Parabacteroides
SHCC255B_bin.1,f__Erysipelotrichaceae,g__JAHHTG01
SHCC255B_bin.14,f__Anaerotignaceae,g__Metalachnospira
SHCC255B_bin.16,f__CAG-917,g__Limadaptatus
SHCC255B_bin.18,f__Tannerellaceae,g__Parabacteroides
SHCC255B_bin.2,f__Oscillospiraceae,g__Avoscillospira
SHCC255B_bin.20,f__Tannerellaceae,g__Parabacteroides
SHCC255B_bin.21,f__Anaerovoracaceae,g__Emergencia
SHCC255B_bin.25,f__UBA660,g__Onthousia
SHCC255B_bin.26,f__UBA660,g__CALVVX01
SHCC255B_bin.29,f__CAG-314,unknown
SHCC255B_bin.32,f__Oscillospiraceae,g__Scatomorpha
SHCC255B_bin.36,f__Bacteroidaceae,g__Mediterranea
SHCC255B_bin.37,f__Tannerellaceae,g__Parabacteroides
SHCC255B_bin.38,f__Acutalibacteraceae,g__Eubacterium_R
SHCC255B_bin.40,f__Barnesiellaceae,g__Barnesiella_A
SHCC255B_bin.42,f__Oscillospiraceae,g__Faecousia
SHCC255B_bin.43,f__Rikenellaceae,g__Alistipes
SHCC255B_bin.44,f__Brachyspiraceae,g__Brachyspira
SHCC255B_bin.50,f__Marinifilaceae,g__CALUMT01
SHCC255B_bin.51,f__CAG-74,g__Limiplasma
SHCC255B_bin.54,f__Elusimicrobiaceae,g__Avelusimicrobium
SHCC255B_bin.6,f__UBA660,g__Faecisoma
SHCC255B_bin.63,f__Rikenellaceae,g__Alistipes_A
SHCC255B_bin.64,f__UBA1242,g__CAKVOD01
SHCC255B_bin.67,f__Oscillospiraceae,g__Pseudoscilispira
SHCC255B_bin.68,f__Acidaminococcaceae,g__URXU01
SHCC255B_bin.69,f__Anaerotignaceae,g__Anaerotignum
SHCC255B_bin.70,f__UBA660,g__Faecenecus
SHCC255B_bin.71,f__Acutalibacteraceae,g__Fimenecus
SHCC255B_bin.73,f__Desulfovibrionaceae,g__Desulfovibrio
SHCC255B_bin.74,f__Oscillospiraceae,g__Vescimonas
SHCC255B_bin.78,f__Anaerotignaceae,g__Fimicola
SHCC256A_bin.1,f__CAG-917,g__CAG-917
SHCC256A_bin.103,f__Tannerellaceae,g__Parabacteroides
SHCC256A_bin.104,f__Ruminococcaceae,g__Negativibacillus
SHCC256A_bin.107,f__Bacteroidaceae,g__Phocaeicola
SHCC256A_bin.12,f__CAG-239,g__CAAFZY01
SHCC256A_bin.13,f__Rikenellaceae,g__Tidjanibacter
SHCC256A_bin.15,f__Tannerellaceae,g__Parabacteroides
SHCC256A_bin.17,f__CAG-826,g__CALVUG01
SHCC256A_bin.18,f__Ruminococcaceae,g__Faecalibacterium
SHCC256A_bin.19,f__Helicobacteraceae,g__Helicobacter_F
SHCC256A_bin.20,f__Ruminococcaceae,g__JAFBIO01
SHCC256A_bin.24,f__Ruminococcaceae,g__Negativibacillus
SHCC256A_bin.25,f__Oscillospiraceae,g__Pseudoflavonifractor_A
SHCC256A_bin.28,f__CAG-314,unknown
SHCC256A_bin.35,f__Gastranaerophilaceae,g__Limenecus
SHCC256A_bin.36,f__Ruminococcaceae,g__Faecalibacterium
SHCC256A_bin.38,f__CAG-239,g__HGM16780
SHCC256A_bin.40,f__Brachyspiraceae,g__Brachyspira
SHCC256A_bin.47,f__Gastranaerophilaceae,g__Scatousia
