ARG_type,Renamed_Drug_Class,Kingdom,Phylum,phylum_without_unknown,Class,Order,Family,Genus,genus_without_unknown,Species,orf_count
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Streptococcaceae,g_Streptococcus,g_Streptococcus,s_Streptococcus agalactiae,2
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Streptococcaceae,g_Streptococcus,g_Streptococcus,s_Streptococcus pyogenes,2
AAC(3)-IVa,aminoglycoside,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Klebsiella,g_Klebsiella,s_Klebsiella pneumoniae,2
AAC(3)-IVa,aminoglycoside,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Pasteurellales,f_Pasteurellaceae,g_Pasteurella,g_Pasteurella,s_Pasteurella multocida,2
AAC(6')-Ib-cr6,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Morganellaceae,g_Proteus,g_Proteus,s_Proteus mirabilis,2
AAC(6')-Ib8,aminoglycoside,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Enterobacter,g_Enterobacter,s_Enterobacter hormaechei,2
AAC(6')-Ib9,aminoglycoside,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Vibrionales,f_Vibrionaceae,g_Vibrio,g_Vibrio,s_Vibrio vulnificus,2
AAC(6')-Ie-APH(2'')-Ia bifunctional protein,aminoglycoside,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Epsilonproteobacteria,o_Campylobacterales,f_Campylobacteraceae,g_Campylobacter,g_Campylobacter,s_Campylobacter jejuni,2
AAC(6')-Ie-APH(2'')-Ia bifunctional protein,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Negativicutes,o_Selenomonadales,f_Selenomonadaceae,g_Megamonas,g_Megamonas,s_Megamonas funiformis,2
AAC(6')-Ie-APH(2'')-Ia bifunctional protein,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Streptococcaceae,g_Streptococcus,g_Streptococcus,s_Streptococcus uberis,2
AAC(6')-Im,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Clostridiaceae,g_Clostridium,g_Clostridium,s_Clostridium perfringens,2
AAC(6')-Im,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Eubacteriaceae,g_unknown,Other,s_Eubacteriaceae bacterium CHKCI004,2
ACT-56,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Enterobacter,g_Enterobacter,NA,2
ACT-77,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Enterobacter,g_Enterobacter,NA,2
ADC-43,cephalosporin,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Moraxellales,f_Moraxellaceae,g_Acinetobacter,g_Acinetobacter,s_Acinetobacter pittii,2
ANT(2'')-Ia,aminoglycoside,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Pseudomonadales,f_Pseudomonadaceae,g_Pseudomonas,g_Pseudomonas,s_Pseudomonas aeruginosa,2
ANT(6)-Ia,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Enterococcaceae,g_Enterococcus,g_Enterococcus,s_Enterococcus cecorum,2
ANT(6)-Ia,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Enterococcaceae,g_Enterococcus,g_Enterococcus,s_Enterococcus faecium,2
ANT(6)-Ia,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Streptococcaceae,g_Streptococcus,g_Streptococcus,s_Streptococcus alactolyticus,2
ANT(6)-Ia,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Erysipelotrichia,o_Erysipelotrichales,f_Turicibacteraceae,g_Turicibacter,g_Turicibacter,s_Turicibacter sp. TJ11,2
ANT(6)-Ib,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Erysipelotrichia,o_Erysipelotrichales,f_Coprobacillaceae,g_Coprobacillus,g_Coprobacillus,s_Coprobacillus sp. CAG:698,2
ANT(6)-Ib,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Peptostreptococcaceae,g_Peptacetobacter,g_Peptacetobacter,s_Peptacetobacter hominis,2
ANT(6)-Ib,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Streptococcaceae,g_Streptococcus,g_Streptococcus,s_Streptococcus suis,2
ANT(9)-Ia,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Enterococcaceae,g_Enterococcus,g_Enterococcus,s_Enterococcus faecalis,2
APH(2'')-IIIa,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Bacillales,f_Staphylococcaceae,g_Mammaliicoccus,g_Mammaliicoccus,s_Mammaliicoccus sciuri,2
APH(2'')-If,aminoglycoside,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,g_Bacteroides,s_Bacteroides thetaiotaomicron,2
APH(2'')-If,aminoglycoside,k_Bacteria,p_Spirochaetes,p_Spirochaetes,c_Spirochaetia,o_Brachyspirales,f_Brachyspiraceae,g_Brachyspira,g_Brachyspira,s_Brachyspira pilosicoli,2
APH(3'')-Ib,aminoglycoside,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,g_Bacteroides,s_Bacteroides caecigallinarum,2
APH(3'')-Ib,aminoglycoside,k_Bacteria,p_Actinobacteria,p_Actinobacteria,c_Actinomycetia,o_Bifidobacteriales,f_Bifidobacteriaceae,g_Bifidobacterium,g_Bifidobacterium,s_Bifidobacterium choerinum,2
APH(3'')-Ib,aminoglycoside,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Klebsiella,g_Klebsiella,s_Klebsiella pneumoniae,2
APH(3'')-Ib,aminoglycoside,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Salmonella,g_Salmonella,s_Salmonella enterica,2
APH(3')-IIIa,aminoglycoside,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,g_Bacteroides,s_Bacteroides sp. AF20-13LB,2
APH(3')-IIIa,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Clostridiaceae,g_Clostridium,g_Clostridium,s_Clostridium sp. CAG:678,2
APH(3')-Ia,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Oscillospiraceae,g_Oscillibacter,g_Oscillibacter,s_Oscillibacter valericigenes,2
APH(3')-Ia,aminoglycoside,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Pseudomonadales,f_Pseudomonadaceae,g_Pseudomonas,g_Pseudomonas,s_Pseudomonas aeruginosa,2
APH(3')-VIIa,aminoglycoside,k_Bacteria,p_Actinobacteria,p_Actinobacteria,c_Coriobacteriia,o_Coriobacteriales,NA,NA,Other,NA,2
AcrE,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Shigella,g_Shigella,s_Shigella flexneri,2
BRP(MBL),glycopeptide,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Escherichia,g_Escherichia,s_Escherichia coli,2
CARB-3,penam,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Klebsiella,g_Klebsiella,s_Klebsiella pneumoniae,2
CARB-8,penam,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Moraxellales,f_Moraxellaceae,g_Acinetobacter,g_Acinetobacter,s_Acinetobacter baumannii,2
CARB-9,penam,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Vibrionales,f_Vibrionaceae,g_Vibrio,g_Vibrio,s_Vibrio cholerae,2
CMY-59,cephamycin,k_Bacteria,NA,Other,NA,NA,NA,NA,Other,NA,2
CTX-M-55,cephalosporin,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Salmonella,g_Salmonella,s_Salmonella enterica,2
Campylobacter coli chloramphenicol acetyltransferase,phenicol,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Peptostreptococcaceae,g_Peptoclostridium,g_Peptoclostridium,s_Peptoclostridium sp. AF21-18,2
EBR-5,multidrug,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Flavobacteriia,o_Flavobacteriales,f_Weeksellaceae,NA,Other,NA,2
EC-14,cephalosporin,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,NA,Other,NA,2
EreD,macrolide,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,g_Bacteroides,s_Bacteroides eggerthii,2
Erm(35),multidrug,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,g_Bacteroides,s_Bacteroides ovatus,2
Erm(35),multidrug,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Phocaeicola,g_Phocaeicola,s_Phocaeicola coprophilus,2
Erm(35),multidrug,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Phocaeicola,g_Phocaeicola,s_Phocaeicola plebeius,2
Erm(35),multidrug,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Prevotellaceae,g_Prevotella,g_Prevotella,s_Prevotella rara,2
Erm(35),multidrug,k_Bacteria,p_unknown,Other,c_unknown,o_unknown,f_unknown,g_unknown,Other,s_uncultured bacterium,2
Erm(48),multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Bacillales,f_Staphylococcaceae,g_Staphylococcus,g_Staphylococcus,NA,2
Erm(52),multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Clostridiaceae,g_Butyricicoccus,g_Butyricicoccus,s_Butyricicoccus pullicaecorum,2
ErmB,multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Lachnospiraceae,g_unknown,Other,s_Lachnospiraceae bacterium KGMB03038,2
ErmF,multidrug,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Rikenellaceae,g_Alistipes,g_Alistipes,s_Alistipes communis,2
ErmF,multidrug,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,g_Bacteroides,s_Bacteroides eggerthii,2
ErmG,multidrug,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,g_Bacteroides,s_Bacteroides ovatus,2
ErmG,multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Peptostreptococcaceae,g_Clostridioides,g_Clostridioides,s_Clostridioides difficile,2
ErmG,multidrug,k_unknown,p_Uroviricota,p_Uroviricota,c_Caudoviricetes,o_Caudovirales,f_Siphoviridae,g_unknown,Other,s_Siphoviridae sp.,2
ErmQ,multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Clostridiaceae,g_Candidatus Arthromitus,g_Candidatus Arthromitus,s_Candidatus Arthromitus sp. SFB-turkey,2
ErmQ,multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Peptostreptococcaceae,g_Peptoclostridium,g_Peptoclostridium,s_Peptoclostridium sp. AF21-18,2
ErmT,multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Bacillales,f_Staphylococcaceae,g_Staphylococcus,g_Staphylococcus,s_Staphylococcus epidermidis,2
ErmX,multidrug,k_Bacteria,p_Actinobacteria,p_Actinobacteria,c_Actinomycetia,o_Bifidobacteriales,f_Bifidobacteriaceae,g_Bifidobacterium,g_Bifidobacterium,s_Bifidobacterium choerinum,2
"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime",multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Shigella,g_Shigella,s_Shigella flexneri,2
"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime",multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Shigella,g_Shigella,s_Shigella sonnei,2
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,elfamycin,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Salmonella,g_Salmonella,s_Salmonella enterica,2
EstT,multidrug,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,g_Bacteroides,s_Bacteroides fragilis,2
EstT,multidrug,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Prevotellaceae,g_Prevotella,g_Prevotella,s_Prevotella copri,2
FosA8,phosphonic acid,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,NA,Other,NA,2
FosD,phosphonic acid,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Bacillales,f_Staphylococcaceae,g_Mammaliicoccus,g_Mammaliicoccus,s_Mammaliicoccus sciuri,2
FosK,phosphonic acid,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Pseudomonadales,f_Pseudomonadaceae,NA,Other,NA,2
FosXCC,phosphonic acid,k_Bacteria,p_Spirochaetes,p_Spirochaetes,c_Spirochaetia,o_Brachyspirales,f_Brachyspiraceae,g_Brachyspira,g_Brachyspira,s_Brachyspira pilosicoli,2
FosXCC,phosphonic acid,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Epsilonproteobacteria,o_Campylobacterales,f_Campylobacteraceae,g_Campylobacter,g_Campylobacter,s_Campylobacter jejuni,2
FusF,fusidane,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Bacillales,f_Staphylococcaceae,g_Staphylococcus,g_Staphylococcus,NA,2
H-NS,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Citrobacter,g_Citrobacter,s_Citrobacter freundii,2
H-NS,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Enterobacter,g_Enterobacter,s_Enterobacter hormaechei,2
ICR-Mo,peptide,k_Bacteria,NA,Other,NA,NA,NA,NA,Other,NA,2
Klebsiella pneumoniae KpnE,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Enterobacter,g_Enterobacter,s_Enterobacter hormaechei,2
Klebsiella pneumoniae KpnF,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Enterobacter,g_Enterobacter,s_Enterobacter cloacae,2
Klebsiella pneumoniae KpnF,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Enterobacter,g_Enterobacter,s_Enterobacter hormaechei,2
Klebsiella pneumoniae KpnG,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Klebsiella,g_Klebsiella,NA,2
Klebsiella pneumoniae KpnH,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Enterobacter,g_Enterobacter,s_Enterobacter cloacae,2
Klebsiella pneumoniae KpnH,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Salmonella,g_Salmonella,s_Salmonella enterica,2
Mef(En2),multidrug,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,g_Bacteroides,s_Bacteroides caccae,2
Mef(En2),multidrug,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,g_Bacteroides,s_Bacteroides salyersiae,2
Mef(En2),multidrug,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Prevotellaceae,g_Prevotella,g_Prevotella,s_Prevotella marseillensis,2
Mrx,macrolide,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Klebsiella,g_Klebsiella,s_Klebsiella pneumoniae,2
Mycobacterium tuberculosis folC with mutation conferring resistance to para-aminosalicylic acid,salicylic acid,k_Bacteria,p_Actinobacteria,p_Actinobacteria,c_Actinomycetia,o_Corynebacteriales,NA,NA,Other,NA,2
Mycobacterium tuberculosis intrinsic murA conferring resistance to fosfomycin,phosphonic acid,k_Bacteria,p_Actinobacteria,p_Actinobacteria,c_Actinomycetia,o_Corynebacteriales,f_Mycobacteriaceae,NA,Other,NA,2
NDM-5,multidrug,k_Bacteria,NA,Other,NA,NA,NA,NA,Other,NA,2
OXA-1,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Klebsiella,g_Klebsiella,s_Klebsiella pneumoniae,2
OXA-1,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Morganellaceae,g_Proteus,g_Proteus,s_Proteus mirabilis,2
OXA-1,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Shigella,g_Shigella,s_Shigella sonnei,2
OXA-10,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Escherichia,g_Escherichia,s_Escherichia coli,2
OXA-21,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,NA,NA,NA,Other,NA,2
OXA-347,penam,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Pasteurellales,f_Pasteurellaceae,g_Glaesserella,g_Glaesserella,s_Glaesserella parasuis,2
OXA-347,penam,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Tannerellaceae,g_Parabacteroides,g_Parabacteroides,s_Parabacteroides distasonis,2
OXA-347,penam,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Phocaeicola,g_Phocaeicola,s_Phocaeicola vulgatus,2
OXA-347,penam,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Prevotellaceae,g_Prevotella,g_Prevotella,s_Prevotella copri,2
OXA-58,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Moraxellales,f_Moraxellaceae,g_Acinetobacter,g_Acinetobacter,s_Acinetobacter baumannii,2
OXA-58,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Moraxellales,f_Moraxellaceae,g_Acinetobacter,g_Acinetobacter,NA,2
OXA-820,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Moraxellales,f_Moraxellaceae,g_Acinetobacter,g_Acinetobacter,s_Acinetobacter pittii,2
QnrVC5,fluoroquinolone,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Vibrionales,f_Vibrionaceae,g_Vibrio,g_Vibrio,NA,2
SAT-4,nucleoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Peptostreptococcaceae,g_Peptoclostridium,g_Peptoclostridium,s_Peptoclostridium sp. AF21-18,2
Streptococcus suis chloramphenicol acetyltransferase,phenicol,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Streptococcaceae,g_Streptococcus,g_Streptococcus,s_Streptococcus pneumoniae,2
TRU-1,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,NA,NA,NA,Other,NA,2
Vibrio anguillarum chloramphenicol acetyltransferase,phenicol,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Clostridiaceae,g_Clostridium,g_Clostridium,s_Clostridium sp. CAG:1013,2
Vibrio anguillarum chloramphenicol acetyltransferase,phenicol,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Oscillospiraceae,g_Flavonifractor,g_Flavonifractor,s_Flavonifractor plautii,2
Vibrio anguillarum chloramphenicol acetyltransferase,phenicol,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Oscillospiraceae,g_Flavonifractor,g_Flavonifractor,s_uncultured Flavonifractor sp.,2
aad(6),aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Peptostreptococcaceae,g_Clostridioides,g_Clostridioides,s_Clostridioides difficile,2
aad(6),aminoglycoside,k_Bacteria,p_Actinobacteria,p_Actinobacteria,c_Coriobacteriia,o_Coriobacteriales,f_Coriobacteriaceae,g_Enorma,g_Enorma,s_Enorma shizhengliae,2
aad(6),aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Oscillospiraceae,g_Faecalibacterium,g_Faecalibacterium,s_Faecalibacterium prausnitzii,2
aadA11,aminoglycoside,k_Bacteria,p_unknown,Other,c_unknown,o_unknown,f_unknown,g_unknown,Other,s_uncultured bacterium,2
aadA16,aminoglycoside,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Enterobacter,g_Enterobacter,s_Enterobacter hormaechei,2
aadA16,aminoglycoside,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Morganellaceae,g_Proteus,g_Proteus,s_Proteus mirabilis,2
aadA2,aminoglycoside,k_Bacteria,p_unknown,Other,c_unknown,o_unknown,f_unknown,g_unknown,Other,s_uncultured bacterium,2
aadA27,aminoglycoside,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Moraxellales,f_Moraxellaceae,g_Acinetobacter,g_Acinetobacter,NA,2
aadA5,aminoglycoside,k_Bacteria,p_Actinobacteria,p_Actinobacteria,c_Actinomycetia,o_Bifidobacteriales,f_Bifidobacteriaceae,g_Bifidobacterium,g_Bifidobacterium,s_Bifidobacterium choerinum,2
almE,peptide,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Vibrionales,f_Vibrionaceae,g_Vibrio,g_Vibrio,s_Vibrio cholerae,2
armA,aminoglycoside,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,NA,NA,NA,Other,NA,2
arr-2,rifamycin,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Aeromonadales,f_Aeromonadaceae,g_Aeromonas,g_Aeromonas,s_Aeromonas hydrophila,2
arr-2,rifamycin,k_Eukaryota,p_Nematoda,p_Nematoda,c_Enoplea,o_Trichinellida,f_Trichuridae,g_Trichuris,g_Trichuris,s_Trichuris suis,2
arr-3,rifamycin,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Morganellaceae,g_Proteus,g_Proteus,s_Proteus mirabilis,2
baeR,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Klebsiella,g_Klebsiella,s_Klebsiella pneumoniae,2
catA8,phenicol,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Enterococcaceae,g_Enterococcus,g_Enterococcus,s_Enterococcus columbae,2
catB11,phenicol,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,NA,NA,NA,Other,NA,2
catB3,phenicol,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Citrobacter,g_Citrobacter,s_Citrobacter freundii,2
catB3,phenicol,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Klebsiella,g_Klebsiella,s_Klebsiella pneumoniae,2
catB3,phenicol,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Morganellaceae,g_Proteus,g_Proteus,s_Proteus mirabilis,2
catB8,phenicol,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Moraxellales,f_Moraxellaceae,g_Acinetobacter,g_Acinetobacter,s_Acinetobacter baumannii,2
catII from Escherichia coli K-12,phenicol,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Escherichia,g_Escherichia,s_Escherichia coli,2
