ARG_type,Renamed_Drug_Class,Kingdom,Phylum,phylum_without_unknown,Class,Order,Family,Genus,genus_without_unknown,Species,orf_count
golS,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Salmonella,g_Salmonella,s_Salmonella enterica,15
mdtE,multidrug,k_Bacteria,p_unknown,Other,c_unknown,o_unknown,f_unknown,g_unknown,Other,s_uncultured bacterium,15
npmA,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Eubacteriaceae,g_Eubacterium,g_Eubacterium,s_Eubacterium callanderi,15
tet(M),tetracycline,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Streptococcaceae,g_Streptococcus,g_Streptococcus,s_Streptococcus pyogenes,15
tet(T),tetracycline,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Tissierellia,o_Tissierellales,f_Peptoniphilaceae,NA,Other,NA,15
tet(W),tetracycline,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Lachnospiraceae,g_Enterocloster,g_Enterocloster,s_Enterocloster bolteae,15
vanYB,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_unknown,g_Gemmiger,g_Gemmiger,s_Gemmiger sp. An120,15
vanYB,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Oscillospiraceae,g_Pseudoflavonifractor,g_Pseudoflavonifractor,s_Pseudoflavonifractor sp. An176,15
vanYG,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Lachnospiraceae,g_Enterocloster,g_Enterocloster,s_Enterocloster clostridioformis,15
APH(3')-IIIa,aminoglycoside,k_Bacteria,p_Spirochaetes,p_Spirochaetes,c_Spirochaetia,o_Brachyspirales,f_Brachyspiraceae,g_Brachyspira,g_Brachyspira,s_Brachyspira pilosicoli,14
Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,fluoroquinolone,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Epsilonproteobacteria,o_Campylobacterales,f_Campylobacteraceae,g_Campylobacter,g_Campylobacter,NA,14
EstT,multidrug,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Flavobacteriia,o_Flavobacteriales,f_Weeksellaceae,g_Ornithobacterium,g_Ornithobacterium,s_Ornithobacterium rhinotracheale,14
FosA3,phosphonic acid,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Klebsiella,g_Klebsiella,s_Klebsiella pneumoniae,14
FosXCC,phosphonic acid,k_Bacteria,p_Verrucomicrobia,p_Verrucomicrobia,c_Verrucomicrobiae,o_Verrucomicrobiales,f_Akkermansiaceae,g_Akkermansia,g_Akkermansia,s_Akkermansia muciniphila,14
Morganella morganii gyrB conferring resistance to fluoroquinolones,fluoroquinolone,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Morganellaceae,g_Proteus,g_Proteus,s_Proteus mirabilis,14
Streptococcus suis chloramphenicol acetyltransferase,phenicol,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Enterococcaceae,g_Enterococcus,g_Enterococcus,s_Enterococcus faecium,14
