ARG_type,Stomach,small_intestine,large_intestine,Feces
Escherichia coli emrE,1,1,1,1
dfrA27,1,1,1,1
Erm(48),0,1,1,0
tmrB,0,0,0,1
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),0,1,1,1
OXA-136,0,0,1,1
LnuH,1,0,1,1
tet(W),1,1,1,1
tet(S),1,1,1,1
tet(O),1,1,1,1
tet(K),1,1,1,1
LnuP,1,1,1,1
tet(C),1,1,1,1
tet(33),1,1,1,1
tetB(P),1,1,1,1
marA,1,1,1,1
arr-2,1,1,1,1
arr-3,1,1,1,1
msr(I),0,1,0,1
arr-8,0,0,0,1
QnrA3,0,0,1,0
AAC(6')-Ib-cr3,0,0,1,1
AAC(6')-Ib-cr6,1,1,1,1
Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin,1,1,1,1
vanB,0,0,1,1
vanC,1,1,1,1
vanF,0,0,1,1
vanG,1,1,1,1
FosB3,0,1,1,1
Erm(52),1,1,1,1
Sed-1,0,0,0,0
almE,0,0,1,1
ugd,1,1,1,1
almF,0,0,1,0
almG,0,0,1,1
OXA-1,0,1,1,1
acrB,1,1,1,1
tet(W/N/W),1,1,1,1
acrD,1,1,1,1
QnrVC5,1,0,1,1
leuO,1,1,1,1
cpxA,1,1,1,1
norC,1,1,1,1
sul1,1,1,1,1
sul2,1,1,1,1
sul3,0,0,1,1
vanWB,0,0,1,1
ADC-43,1,0,0,1
sul4,0,0,0,1
ykkC,0,0,0,1
vanSB,0,0,1,0
ykkD,0,0,0,1
tet(O/W/32/O),1,1,1,1
vanWG,0,1,1,1
tet(45),1,1,1,1
vanWI,0,0,1,1
FosBx1,0,1,1,1
TEM-1,1,0,1,1
EC-14,1,1,1,1
EC-15,1,1,1,1
FosD,0,0,1,1
PC1 beta-lactamase (blaZ),0,0,1,1
DHA-1,0,0,0,1
FosG,0,0,0,0
Escherichia coli soxS with mutation conferring antibiotic resistance,1,1,1,1
BRO-2,1,0,0,0
FosK,0,0,0,1
OXA-912,0,1,0,0
eptA,1,1,1,1
eptB,0,0,1,0
Escherichia coli acrA,1,1,1,1
mphA,0,0,1,1
cfr(D),0,0,1,1
mphC,0,0,1,1
CTX-M-65,0,0,1,0
mphE,1,0,1,1
mphF,0,0,0,1
OXA-334,1,0,0,1
mphG,1,0,0,1
mphK,0,0,0,1
spd,0,0,0,1
DfrB9,0,0,0,1
mphO,0,1,1,1
mdtA,1,1,1,1
mdtB,1,1,1,1
mdtC,0,0,1,0
mdtE,1,1,1,1
mdtF,1,1,1,1
mdtG,1,1,1,1
mdtH,1,1,1,1
mdtM,1,1,1,1
mdtN,1,1,1,1
mdtO,1,1,1,1
mdtP,1,1,1,1
