MAG	p	p.adj	p.format	p.signif	method	MAG_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	Abundance_mean	live_rate	Group
MAG20149	4.90237118609976e-05	4.9e-05	4.9e-05	****	Kruskal-Wallis	SRR29429279_bin.32	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	0.516819764	0.973063973	g__Phocaeicola
MAG4976	4.96957374458555e-05	5e-05	5e-05	****	Kruskal-Wallis	CCY25B_bin.26	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprophilus	0.238273008	0.95959596	g__Phocaeicola
MAG4216	5.09471763736623e-05	5.1e-05	5.1e-05	****	Kruskal-Wallis	CCS18A_bin.75	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp000432735	0.002077737	0.686868687	g__Phocaeicola
MAG19354	5.43434884578625e-05	5.4e-05	5.4e-05	****	Kruskal-Wallis	SRR28497699_bin.14	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprophilus	0.082642357	0.791245791	g__Phocaeicola
MAG22453	5.43086971550411e-05	5.4e-05	5.4e-05	****	Kruskal-Wallis	SRR29536164_bin.104	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprophilus	0.265951259	0.96969697	g__Phocaeicola
MAG1965	5.57766270073773e-05	5.6e-05	5.6e-05	****	Kruskal-Wallis	BKDN170796352_1A_bin.20	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprophilus	0.196178192	0.858585859	g__Phocaeicola
MAG9118	5.65916008938077e-05	5.7e-05	5.7e-05	****	Kruskal-Wallis	SHCC130A_bin.33	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.299378761	0.915824916	g__Phocaeicola
MAG5663	5.75813612946311e-05	5.8e-05	5.8e-05	****	Kruskal-Wallis	CCY48A_bin.21	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.115664067	0.946127946	g__Phocaeicola
MAG2701	5.9362809155775e-05	5.9e-05	5.9e-05	****	Kruskal-Wallis	CCH209_3_bin_with_3dai_data_bin.29	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.138281444	0.973063973	g__Phocaeicola
MAG13598	5.97577738792198e-05	6e-05	6e-05	****	Kruskal-Wallis	SHCC262A_bin.17	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A sp900549465	0.095885985	0.478114478	other_families
MAG3153	6.00036625846246e-05	6e-05	6e-05	****	Kruskal-Wallis	CCH258A_bin.48	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__	0.073706414	0.707070707	g__Phocaeicola
MAG314	6.11861020299404e-05	6.1e-05	6.1e-05	****	Kruskal-Wallis	BKDN170793998_1A_bin.7	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	0.066536747	0.64983165	g__Phocaeicola
MAG5213	6.41838278600698e-05	6.4e-05	6.4e-05	****	Kruskal-Wallis	CCY34B_bin.68	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprophilus	0.219573862	0.929292929	g__Phocaeicola
MAG21500	6.80334726128639e-05	6.8e-05	6.8e-05	****	Kruskal-Wallis	SRR29472730_bin.16	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	0.443884865	0.909090909	g__Phocaeicola
MAG22992	6.75790256938881e-05	6.8e-05	6.8e-05	****	Kruskal-Wallis	SRR29536187_bin.21	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900066445	0.551064397	0.966329966	g__Phocaeicola
MAG666	6.75709543119047e-05	6.8e-05	6.8e-05	****	Kruskal-Wallis	BKDN170794159_1A_bin.45	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	0.296605741	0.895622896	g__Phocaeicola
MAG8988	6.92564455724549e-05	6.9e-05	6.9e-05	****	Kruskal-Wallis	SHCC126A_bin.19	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA737	s__	0.017962269	0.228956229	other_families
MAG20996	7.10231454136568e-05	7.1e-05	7.1e-05	****	Kruskal-Wallis	SRR29449914_bin.37	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__	0.133548512	0.781144781	g__Phocaeicola
MAG22166	7.12936225638163e-05	7.1e-05	7.1e-05	****	Kruskal-Wallis	SRR29472742_bin.37	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.089515552	0.804713805	g__Phocaeicola
MAG23021	7.07435387466921e-05	7.1e-05	7.1e-05	****	Kruskal-Wallis	SRR29536188_bin.25	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__	0.014674588	0.434343434	other_families
MAG3019	7.07769240476563e-05	7.1e-05	7.1e-05	****	Kruskal-Wallis	CCH247_bin_with_2dai_data_bin.40	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.143337722	0.949494949	g__Phocaeicola
MAG7181	7.5579302660079e-05	7.6e-05	7.6e-05	****	Kruskal-Wallis	FJY28A_bin.16	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	0.352080086	0.919191919	g__Phocaeicola
MAG11658	7.73130196178897e-05	7.7e-05	7.7e-05	****	Kruskal-Wallis	SHCC206A_bin.38	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900066445	1.166111254	0.97979798	g__Phocaeicola
MAG20509	7.6878221790405e-05	7.7e-05	7.7e-05	****	Kruskal-Wallis	SRR29449373_bin.36	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.085381968	0.888888889	g__Phocaeicola
MAG20279	7.88993903732909e-05	7.9e-05	7.9e-05	****	Kruskal-Wallis	SRR29449360_bin.62	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__	0.017645633	0.457912458	other_families
MAG7412	7.91792158911285e-05	7.9e-05	7.9e-05	****	Kruskal-Wallis	FJY5A_bin.2	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A sp900549465	0.051290158	0.383838384	other_families
MAG14955	8.02627884415149e-05	8e-05	8e-05	****	Kruskal-Wallis	SHCC290A_bin.87	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella rara	0.156254152	0.562289562	other_genus_from_Bacteroidaceae
MAG18101	7.98297598006163e-05	8e-05	8e-05	****	Kruskal-Wallis	SRR21163423_bin.4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__Paraprevotella sp003477995	0.025607551	0.400673401	other_genus_from_Bacteroidaceae
MAG2988	8.09696497205134e-05	8.1e-05	8.1e-05	****	Kruskal-Wallis	CCH247A_bin.70	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__Paraprevotella sp003477995	0.025997621	0.572390572	other_genus_from_Bacteroidaceae
MAG19863	8.19293351091406e-05	8.2e-05	8.2e-05	****	Kruskal-Wallis	SRR29429241_bin.53	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__	0.017405007	0.569023569	other_families
MAG22711	8.27783700062675e-05	8.3e-05	8.3e-05	****	Kruskal-Wallis	SRR29536168_bin.48	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Acutalibacter	s__	0.020568948	0.865319865	other_families
MAG10965	8.7135442273536e-05	8.7e-05	8.7e-05	****	Kruskal-Wallis	SHCC187A_bin.75	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__	0.190773886	0.673400673	other_families
MAG19437	8.74359976982702e-05	8.7e-05	8.7e-05	****	Kruskal-Wallis	SRR28497701_bin.75	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900066445	0.60657331	0.96969697	g__Phocaeicola
MAG2989	9.02320892972279e-05	9e-05	9e-05	****	Kruskal-Wallis	CCH247A_bin.72	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.041541084	0.589225589	g__Phocaeicola
MAG15519	9.13339092901758e-05	9.1e-05	9.1e-05	****	Kruskal-Wallis	SHCC36A_bin.74	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900066445	0.64191869	0.946127946	g__Phocaeicola
MAG20769	9.14588959654372e-05	9.1e-05	9.1e-05	****	Kruskal-Wallis	SRR29449906_bin.55	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	0.372488162	0.909090909	g__Phocaeicola
