MGE_subtype,ARG,species,Sample
tnpA,tet(O),s__Streptococcus sp. ZY1909104,FDM25B
tnpA,tet(S),s__Enterococcus faecium,FDM25B
intI1,aadA5,s__Escherichia coli,FDM25B
tnpA,tet(M),s__Streptococcus parasuis,FDM25B
rep21,qacG,s__Staphylococcus aureus,FDM25B
tnpA,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,s__Enterococcus faecalis,FDM25B
repUS12,ANT(4')-Ia,s__Enterococcus sp.,FDM25B
rep7,tet(45),s__Mammaliicoccus sciuri,FDM25B
tnpA,poxtA,s__Streptococcus thermophilus,FDM25B
rep13,Streptococcus suis chloramphenicol acetyltransferase,s__Staphylococcus aureus,FDM25B
tnpA,tet(Q),s__Bacteroides uniformis,FDM25B
Tn916,tet(M),s__unclassified Bacilli species,FDM25B
Tn916,tet(M),s__unclassified Bacilli species,FDM25B
Tn916,tet(M),s__unclassified Bacilli species,FDM25B
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FDM26A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FDM26A
tnpA,tet(A),s__unclassified Enterobacterales species,FDM26A
rep21,lnuA,s__unclassified Staphylococcus species,FDM26A
qacEdelta,qacL,s__unclassified Gammaproteobacteria species,FDM26A
tnpA,qacL,s__unclassified Gammaproteobacteria species,FDM26A
tnpA,TEM-1,s__Escherichia coli,FDM26A
tnpA,cfrA,s__Parabacteroides goldsteinii,FDM26A
tnpA,cfrA,s__Parabacteroides goldsteinii,FDM26A
qacEdelta,qacEdelta1,s__unclassified Bacteria species,FDM26A
qacEdelta,sul1,s__unclassified Bacteria species,FDM26A
tnpA,APH(3')-Ia,s__unclassified Bacteria species,FDM26A
IS10,tet(B),s__Escherichia coli,FDM26A
tnpA10,tet(B),s__Escherichia coli,FDM26A
IS10,tet(R),s__Escherichia coli,FDM26A
tnpA10,tet(R),s__Escherichia coli,FDM26A
tnpA,APH(3'')-Ib,s__unclassified Enterobacterales species,FDM27B
tnpA,APH(6)-Id,s__unclassified Enterobacterales species,FDM27B
tnpA,tet(A),s__unclassified Enterobacteriaceae species,FDM27B
Tn916,tet(M),s__unclassified Bacteria species,FDM27B
rep7,catA8,s__unclassified Lactobacillaceae species,FDM27B
tnpA,ErmX,s__Corynebacterium striatum,FDM27B
tnpAN,APH(3')-Ia,s__Escherichia coli,FDM27B
qacEdelta,AAC(6')-Ib8,s__Enterobacter hormaechei,FDM27B
tnpA,Streptococcus suis chloramphenicol acetyltransferase,s__Enterococcus faecium,FDM27B
qacEdelta,aadA2,s__Escherichia coli,FDM27B
tniB,aadA2,s__Escherichia coli,FDM27B
tnpA,aadA2,s__Escherichia coli,FDM27B
qacEdelta,qacEdelta1,s__Escherichia coli,FDM27B
tniB,qacEdelta1,s__Escherichia coli,FDM27B
tnpA,qacEdelta1,s__Escherichia coli,FDM27B
qacEdelta,sul1,s__Escherichia coli,FDM27B
tniB,sul1,s__Escherichia coli,FDM27B
tnpA,sul1,s__Escherichia coli,FDM27B
Tn916,tet(M),s__Paenibacillus andongensis,FDM27B
Tn916,tet(M),s__Paenibacillus andongensis,FDM27B
Tn916,tet(M),s__Paenibacillus andongensis,FDM27B
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FDM27B
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FDM27B
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FDM27B
qacEdelta,qacEdelta1,s__unclassified Bacteria species,FDM28B
tnpA,qacEdelta1,s__unclassified Bacteria species,FDM28B
qacEdelta,sul1,s__unclassified Bacteria species,FDM28B
tnpA,sul1,s__unclassified Bacteria species,FDM28B
tnpA,APH(3')-Ia,s__unclassified Enterobacteriaceae species,FDM28B
tnpA,fexA,s__Enterococcus faecium,FDM28B
tnpA,cfrA,s__Bacteroides fragilis,FDM28B
tnpA,cfrA,s__Bacteroides fragilis,FDM28B
intI1,aadA2,s__Corynebacterium xerosis,FDM28B
tnpA,ErmX,s__Corynebacterium striatum,FDM29B
tnpA,APH(3')-Ia,s__Corynebacterium tuberculostearicum,FDM29B
tnpA,tet(A),s__unclassified Enterobacterales species,FDM29B
tnpA,tet(A),s__unclassified Enterobacterales species,FDM29B
qacEdelta,aadA5,s__unclassified Gammaproteobacteria species,FDM29B
tniB,aadA5,s__unclassified Gammaproteobacteria species,FDM29B
qacEdelta,dfrA17,s__unclassified Gammaproteobacteria species,FDM29B
tniB,dfrA17,s__unclassified Gammaproteobacteria species,FDM29B
qacEdelta,qacEdelta1,s__unclassified Gammaproteobacteria species,FDM29B
tniB,qacEdelta1,s__unclassified Gammaproteobacteria species,FDM29B
qacEdelta,sul1,s__unclassified Gammaproteobacteria species,FDM29B
tniB,sul1,s__unclassified Gammaproteobacteria species,FDM29B
tnpA,AAC(3)-IVa,s__unclassified Enterobacterales species,FDM29B
repUS12,tet(45),s__Staphylococcus aureus,FDM29B
repUS12,tet(O),s__Staphylococcus aureus,FDM29B
Tn916,tet(M),s__Enterococcus faecium,FDM29B
Tn916,tet(M),s__Enterococcus faecium,FDM29B
Tn916,tet(M),s__Enterococcus faecium,FDM29B
rep7,catA8,s__unclassified Lactobacillaceae species,FDM29B
tnpA,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,s__Staphylococcus aureus,FDM29B
qacEdelta,aadA2,s__unclassified Actinomycetes species,FDM30A
tniB,aadA2,s__unclassified Actinomycetes species,FDM30A
tnpA,aadA2,s__unclassified Actinomycetes species,FDM30A
qacEdelta,qacEdelta1,s__unclassified Actinomycetes species,FDM30A
tniB,qacEdelta1,s__unclassified Actinomycetes species,FDM30A
tnpA,qacEdelta1,s__unclassified Actinomycetes species,FDM30A
qacEdelta,sul1,s__unclassified Actinomycetes species,FDM30A
tniB,sul1,s__unclassified Actinomycetes species,FDM30A
tnpA,sul1,s__unclassified Actinomycetes species,FDM30A
tnpA,Mef(En2),s__unclassified Dysgonomonadaceae species,FDM30A
tnpA,tet(A),s__unclassified Enterobacterales species,FDM30A
tnpA,tet(A),s__unclassified Enterobacterales species,FDM30A
tnpA,cfrA,s__Parabacteroides merdae,FDM32B
tnpA,cfrA,s__Parabacteroides merdae,FDM32B
qacEdelta,aadA2,s__unclassified Bacteria species,FDM32B
tniA,aadA2,s__unclassified Bacteria species,FDM32B
tniB,aadA2,s__unclassified Bacteria species,FDM32B
qacEdelta,qacEdelta1,s__unclassified Bacteria species,FDM32B
tniA,qacEdelta1,s__unclassified Bacteria species,FDM32B
tniB,qacEdelta1,s__unclassified Bacteria species,FDM32B
qacEdelta,sul1,s__unclassified Bacteria species,FDM32B
tniA,sul1,s__unclassified Bacteria species,FDM32B
tniB,sul1,s__unclassified Bacteria species,FDM32B
intI1,aadA5,s__Escherichia coli,FDM32B
tnpA,fexA,s__Enterococcus faecium,FDM32B
tnpA,tet(A),s__unclassified Pseudomonadota species,FDM32B
IS91,APH(6)-Id,s__unclassified Gammaproteobacteria species,FDM32B
tnpA,dfrA14,s__unclassified Enterobacteriaceae species,FDM32B
rep7,catA8,s__Enterococcus faecium,FDM32B
repUS12,catA8,s__Enterococcus faecium,FDM32B
Tn916,tet(M),s__unclassified Bacilli species,FDM33A
Tn916,tet(M),s__unclassified Bacilli species,FDM33A
Tn916,tet(M),s__unclassified Bacilli species,FDM33A
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,FDM33A
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,FDM33A
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,FDM33A
tnpA,APH(3')-Ia,s__unclassified Bacteria species,FDM33A
IS91,ErmF,s__unclassified Gammaproteobacteria species,FDM33A
qacEdelta,qacEdelta1,s__unclassified Bacteria species,FDM33A
tniB,qacEdelta1,s__unclassified Bacteria species,FDM33A
tnpA,qacEdelta1,s__unclassified Bacteria species,FDM33A
qacEdelta,sul1,s__unclassified Bacteria species,FDM33A
tniB,sul1,s__unclassified Bacteria species,FDM33A
tnpA,sul1,s__unclassified Bacteria species,FDM33A
rep21,qacG,s__Staphylococcus aureus,FDM33A
Tn916,tet(M),s__unclassified Bacteria species,FDM33A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FDM33A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FDM33A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FDM33A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FDM33A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FDM33A
tnpA,tet(A),s__unclassified Enterobacteriaceae species,FDM33A
tnpA,tet(A),s__unclassified Enterobacteriaceae species,FDM33A
tnpA,tet(A),s__unclassified Enterobacteriaceae species,FDM33A
tnpA,tet(A),s__unclassified Enterobacteriaceae species,FDM33A
tnpA,tet(A),s__unclassified Enterobacteriaceae species,FDM33A
rep7,tet(45),s__Mammaliicoccus sciuri,FDM33A
repUS12,tet(45),s__Staphylococcus aureus,FDM33A
tnpA,tet(45),s__Staphylococcus aureus,FDM33A
rep7,catA8,s__Enterococcus faecium,FDM34B
tnpA,tet(A),s__Escherichia coli,FDM34B
Tn916,tet(M),s__unclassified Bacilli species,FDM34B
Tn916,tet(M),s__unclassified Bacilli species,FDM34B
Tn916,tet(M),s__unclassified Bacilli species,FDM34B
tnpA,tet(Z),s__Corynebacterium striatum,FDM34B
tnpA,cfrA,s__Parabacteroides merdae,FDM34B
tnpA,cfrA,s__Parabacteroides merdae,FDM34B
qacEdelta,aadA2,s__unclassified Bacteria species,FDM34B
tniB,aadA2,s__unclassified Bacteria species,FDM34B
tnpA,aadA2,s__unclassified Bacteria species,FDM34B
qacEdelta,qacEdelta1,s__unclassified Bacteria species,FDM34B
tniB,qacEdelta1,s__unclassified Bacteria species,FDM34B
tnpA,qacEdelta1,s__unclassified Bacteria species,FDM34B
qacEdelta,sul1,s__unclassified Bacteria species,FDM34B
tniB,sul1,s__unclassified Bacteria species,FDM34B
tnpA,sul1,s__unclassified Bacteria species,FDM34B
tnpA,cfrA,s__Parabacteroides merdae,FDM3B
tnpA,cfrA,s__Parabacteroides merdae,FDM3B
tnpA,tet(Z),s__Corynebacterium striatum,FDM3B
qacEdelta,qacEdelta1,s__unclassified Bacteria species,FDM3B
tniB,qacEdelta1,s__unclassified Bacteria species,FDM3B
tnpA,qacEdelta1,s__unclassified Bacteria species,FDM3B
qacEdelta,sul1,s__unclassified Bacteria species,FDM3B
tniB,sul1,s__unclassified Bacteria species,FDM3B
tnpA,sul1,s__unclassified Bacteria species,FDM3B
tnpA,dfrA14,s__unclassified Enterobacteriaceae species,FDM3B
qacEdelta,lnuF,s__Escherichia coli,FDM3B
tnpA,AAC(6')-IIa,s__Escherichia coli,FDM3B
tnpA,Streptococcus suis chloramphenicol acetyltransferase,s__unclassified Campylobacter species,FDM3B
tnpA,H-NS,s__Escherichia coli,FDM3B
tnpA,tet(A),s__unclassified Bacteria species,FDM3B
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FDM3B
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FDM3B
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FDM3B
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FDM3B
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FDM3B
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FDM3B
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FDM3B
rep7,tet(45),s__Mammaliicoccus sciuri,FDM3B
rep21,qacG,s__Staphylococcus aureus,FDM5B
intI1,aadA2,s__Corynebacterium sp. 22KM0430,FDM5B
qacEdelta,aadA2,s__Corynebacterium sp. 22KM0430,FDM5B
intI1,qacEdelta1,s__Corynebacterium sp. 22KM0430,FDM5B
qacEdelta,qacEdelta1,s__Corynebacterium sp. 22KM0430,FDM5B
intI1,sul1,s__Corynebacterium sp. 22KM0430,FDM5B
qacEdelta,sul1,s__Corynebacterium sp. 22KM0430,FDM5B
repUS12,tet(45),s__Enterococcus faecium,FDM5B
repUS12,tet(M),s__Enterococcus faecium,FDM5B
Tn916,ANT(6)-Ia,s__Streptococcus suis,FDM5B
IS91,sul2,s__Escherichia coli,FDM5B
tnpA,tet(A),s__unclassified Enterobacterales species,FDM5B
tnpA,cfrA,s__Bacteroides fragilis,FDM5B
tnpA,cfrA,s__Bacteroides fragilis,FDM5B
rep7,catA8,s__Enterococcus lactis,FDM5B
rep7,tet(K),s__Staphylococcus xylosus,FDM5B
tnpA,AAC(3)-IVa,s__unclassified Bacteria species,FDM6A
tnpA,AAC(3)-IVa,s__unclassified Bacteria species,FDM6A
tnpA,APH(4)-Ia,s__unclassified Bacteria species,FDM6A
tnpA,APH(4)-Ia,s__unclassified Bacteria species,FDM6A
tnpA,APH(3')-Ia,s__unclassified Gammaproteobacteria species,FDM6A
tnpA,tet(A),s__unclassified Gammaproteobacteria species,FDM6A
rep7,Staphylococcus intermedius chloramphenicol acetyltransferase,s__unclassified Staphylococcaceae species,FDM6A
qacEdelta,qacEdelta1,s__unclassified Bacteria species,FDM6A
Tn916,tet(S),s__unclassified Bacilli species,FDM6A
tniB,sul1,s__unclassified Bacteria species,FDM6A
tnpA,sul1,s__unclassified Bacteria species,FDM6A
rep13,lnuA,s__Staphylococcus aureus,FDM6A
tnpA,cfrA,s__Bacteroides fragilis,FDM6A
tnpA,poxtA,s__Enterococcus faecium,FDM6A
Tn916,tet(M),s__Staphylococcus aureus,FDM6A
rep7,tet(K),s__Staphylococcus aureus,FDM6A
rep21,qacG,s__Staphylococcus arlettae,FDM6A
Tn916,tet(M),s__Enterococcus faecium,FDM6A
Tn916,tet(M),s__Enterococcus faecium,FDM6A
Tn916,tet(M),s__Enterococcus faecium,FDM6A
rep22,tet(45),s__Staphylococcus aureus,FDM6A
IS91,APH(6)-Id,s__unclassified Bacteria species,FDM7A
rep7,tet(45),s__Mammaliicoccus sciuri,FDM7A
qacEdelta,qacEdelta1,s__unclassified Bacteria species,FDM7A
tniB,qacEdelta1,s__unclassified Bacteria species,FDM7A
tnpA,qacEdelta1,s__unclassified Bacteria species,FDM7A
qacEdelta,sul1,s__unclassified Bacteria species,FDM7A
tniB,sul1,s__unclassified Bacteria species,FDM7A
tnpA,sul1,s__unclassified Bacteria species,FDM7A
rep21,qacG,s__Staphylococcus aureus,FDM7A
tnpA,tet(A),s__unclassified Enterobacterales species,FDM7A
tnpA,APH(3')-Ia,s__unclassified Gammaproteobacteria species,FDM7A
tnpA,cfrA,s__Parabacteroides goldsteinii,FDM7A
tnpA,cfrA,s__Parabacteroides goldsteinii,FDM7A
IS26,dfrA14,s__unclassified Enterobacteriaceae species,FDM8B
tnpA,lnuG,s__Companilactobacillus futsaii,FDM8B
tnpA,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,s__Globicatella sp. PHS-GS-PNBC-21-1553,FDM8B
rep7,catA8,s__Enterococcus faecalis,FDM8B
Tn916,tet(S),s__Enterococcus faecalis,FDM8B
IS91,sul2,s__Escherichia coli,FDM8B
qacEdelta,dfrA12,s__unclassified Pseudomonadota species,FDM8B
rep21,qacG,s__Staphylococcus aureus,FDM8B
tnpA,APH(3'')-Ib,s__Escherichia coli,FDM8B
tnpA,APH(3')-Ia,s__Escherichia coli,FDM8B
tnpA,APH(6)-Id,s__Escherichia coli,FDM8B
rep7,tet(45),s__Mammaliicoccus sciuri,FDM8B
Tn916,tet(M),s__Enterococcus cecorum,FDM8B
Tn916,tet(M),s__Enterococcus cecorum,FDM8B
Tn916,tet(M),s__Enterococcus cecorum,FDM8B
tnpA,AAC(3)-IVa,s__unclassified Bacteria species,FDM8B
tnpA,AAC(3)-IVa,s__unclassified Bacteria species,FDM8B
tnpA,APH(4)-Ia,s__unclassified Bacteria species,FDM8B
tnpA,APH(4)-Ia,s__unclassified Bacteria species,FDM8B
rep22,ErmC,s__Staphylococcus saprophyticus,FDM8B
tnpA,poxtA,s__Aerococcus urinaeequi,FDM8B
tnpA,tet(A),s__unclassified Enterobacterales species,FDM8B
qacEdelta,qacEdelta1,s__unclassified Pseudomonadota species,FDM8B
tniA,qacEdelta1,s__unclassified Pseudomonadota species,FDM8B
tniB,qacEdelta1,s__unclassified Pseudomonadota species,FDM8B
qacEdelta,sul1,s__unclassified Pseudomonadota species,FDM8B
tniA,sul1,s__unclassified Pseudomonadota species,FDM8B
tniB,sul1,s__unclassified Pseudomonadota species,FDM8B
rep13,Streptococcus suis chloramphenicol acetyltransferase,s__Staphylococcus aureus,FDM8B
intI1,aadA2,s__Escherichia coli,FH108B
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FH108B
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FH108B
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FH108B
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FH108B
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FH108B
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FH108B
tnpA,ErmB,s__Enterococcus faecium,FH108B
tnpA,OXA-10,s__Klebsiella pneumoniae,FH108B
tnpA,arr-2,s__Klebsiella pneumoniae,FH108B
tnpA,cmlA5,s__Klebsiella pneumoniae,FH108B
tnpA,dfrA14,s__Klebsiella pneumoniae,FH108B
tnpAN,APH(3'')-Ib,s__unclassified Pasteurellaceae species,FH108B
tnpAN,APH(6)-Id,s__unclassified Pasteurellaceae species,FH108B
qacEdelta,qacEdelta1,s__unclassified Bacteria species,FH108B
tniB,qacEdelta1,s__unclassified Bacteria species,FH108B
tnpA,qacEdelta1,s__unclassified Bacteria species,FH108B
qacEdelta,sul1,s__unclassified Bacteria species,FH108B
tniB,sul1,s__unclassified Bacteria species,FH108B
tnpA,sul1,s__unclassified Bacteria species,FH108B
rep7,catA8,s__Enterococcus faecium,FH108B
tnpA,tet(A),s__unclassified Bacteria species,FH108B
tnpA,ErmX,s__Corynebacterium striatum,FH108B
tnpA,sul2,s__unclassified Pseudomonadota species,FH108B
tnpA,sul2,s__unclassified Pseudomonadota species,FH108B
qacEdelta,dfrA12,s__unclassified Gammaproteobacteria species,FH111B
rep7,catA8,s__Enterococcus faecium,FH111B
intI1,AAC(6')-Ib9,s__Acinetobacter seifertii,FH111B
qacEdelta,qacEdelta1,s__unclassified Bacteria species,FH111B
tniB,qacEdelta1,s__unclassified Bacteria species,FH111B
tnpA,qacEdelta1,s__unclassified Bacteria species,FH111B
qacEdelta,sul1,s__unclassified Bacteria species,FH111B
tniB,sul1,s__unclassified Bacteria species,FH111B
tnpA,sul1,s__unclassified Bacteria species,FH111B
tnpA,APH(3')-Ia,s__unclassified Gammaproteobacteria species,FH111B
Tn916,tet(M),s__Streptococcus pneumoniae,FH111B
tnpA,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,s__Jeotgalibaca sp. PTS2502,FH111B
tnpA,ErmB,s__Staphylococcus aureus,FH111B
tnpA,CTX-M-65,s__unclassified Enterobacteriaceae species,FH127B
tnpA,CTX-M-65,s__unclassified Enterobacteriaceae species,FH127B
tnpA,Mef(En2),s__Prevotella histicola,FH127B
rep7,catA8,s__Enterococcus faecium,FH127B
qacEdelta,qacL,s__Escherichia coli,FH127B
tnpA,qacL,s__Escherichia coli,FH127B
tnpA,qacL,s__Escherichia coli,FH127B
qacEdelta,sul3,s__Escherichia coli,FH127B
tnpA,sul3,s__Escherichia coli,FH127B
tnpA,sul3,s__Escherichia coli,FH127B
intI1,AAC(6')-Ib8,s__Enterobacter hormaechei,FH127B
qacEdelta,AAC(6')-Ib8,s__Enterobacter hormaechei,FH127B
intI1,dfrA12,s__Enterobacter hormaechei,FH127B
qacEdelta,dfrA12,s__Enterobacter hormaechei,FH127B
intI1,qacL,s__Enterobacter hormaechei,FH127B
qacEdelta,qacL,s__Enterobacter hormaechei,FH127B
tnpA,QnrS1,s__Enterobacter hormaechei,FH127B
tnpA,QnrS1,s__Enterobacter hormaechei,FH127B
tnpA,QnrS1,s__Enterobacter hormaechei,FH127B
tnpA,QnrS1,s__Enterobacter hormaechei,FH127B
tnpA,QnrS1,s__Enterobacter hormaechei,FH127B
tnpA,QnrS1,s__Enterobacter hormaechei,FH127B
tnpA,QnrS1,s__Enterobacter hormaechei,FH127B
tnpA,QnrS1,s__Enterobacter hormaechei,FH127B
tnpA,tet(A),s__Enterobacter hormaechei,FH127B
tnpA,tet(A),s__Enterobacter hormaechei,FH127B
tnpA,tet(A),s__Enterobacter hormaechei,FH127B
tnpA,tet(A),s__Enterobacter hormaechei,FH127B
tnpA,tet(A),s__Enterobacter hormaechei,FH127B
tnpA1133,APH(3'')-Ib,s__unclassified Escherichia species,FH127B
tnpAN,APH(3'')-Ib,s__unclassified Escherichia species,FH127B
tnpA1133,APH(6)-Id,s__unclassified Escherichia species,FH127B
tnpAN,APH(6)-Id,s__unclassified Escherichia species,FH127B
tnpA,ErmB,s__Enterococcus faecium,FH127B
qacEdelta,qacEdelta1,s__unclassified Bacteria species,FH127B
tniB,qacEdelta1,s__unclassified Bacteria species,FH127B
tnpA,qacEdelta1,s__unclassified Bacteria species,FH127B
qacEdelta,sul1,s__unclassified Bacteria species,FH127B
tniB,sul1,s__unclassified Bacteria species,FH127B
tnpA,sul1,s__unclassified Bacteria species,FH127B
tnpA,AAC(3)-IVa,s__unclassified Bacteria species,FH127B
tnpA,AAC(3)-IVa,s__unclassified Bacteria species,FH127B
tnpA,APH(4)-Ia,s__unclassified Bacteria species,FH127B
tnpA,APH(4)-Ia,s__unclassified Bacteria species,FH127B
IS26,dfrA14,s__unclassified Enterobacteriaceae species,FH127B
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,FH127B
tnpA,tet(Q),s__unclassified Bacteroides species,FH127B
tnpA,tet(A),s__unclassified Enterobacterales species,FH151A
tnpA,tet(A),s__unclassified Enterobacterales species,FH151A
qacEdelta,qacEdelta1,s__Escherichia coli,FH151A
tniB,qacEdelta1,s__Escherichia coli,FH151A
tnpA,qacEdelta1,s__Escherichia coli,FH151A
qacEdelta,sul1,s__Escherichia coli,FH151A
tniB,sul1,s__Escherichia coli,FH151A
tnpA,sul1,s__Escherichia coli,FH151A
tnpA,tet(45),s__Staphylococcus aureus,FH151A
tnpA,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,s__Staphylococcus aureus,FH151A
tnpA,AAC(3)-IVa,s__unclassified Gammaproteobacteria species,FH151A
tnpA,AAC(3)-IVa,s__unclassified Gammaproteobacteria species,FH151A
tnpA,AAC(3)-IVa,s__unclassified Gammaproteobacteria species,FH151A
tnpA,APH(3')-Ia,s__unclassified Gammaproteobacteria species,FH151A
tnpA,APH(3')-Ia,s__unclassified Gammaproteobacteria species,FH151A
tnpA,APH(4)-Ia,s__unclassified Gammaproteobacteria species,FH151A
tnpA,APH(4)-Ia,s__unclassified Gammaproteobacteria species,FH151A
tnpA,APH(4)-Ia,s__unclassified Gammaproteobacteria species,FH151A
qacEdelta,qacL,s__Escherichia coli,FH151A
tnpA,qacL,s__Escherichia coli,FH151A
tnpA,qacL,s__Escherichia coli,FH151A
qacEdelta,sul3,s__Escherichia coli,FH151A
tnpA,sul3,s__Escherichia coli,FH151A
tnpA,sul3,s__Escherichia coli,FH151A
Tn916,tet(M),s__unclassified Escherichia species,FH151A
repUS12,ANT(4')-Ia,s__Staphylococcus aureus,FH157B
tnpA,AAC(3)-IVa,s__Klebsiella pneumoniae,FH157B
tnpA,AAC(3)-IVa,s__Klebsiella pneumoniae,FH157B
tnpA,APH(3')-Ia,s__Klebsiella pneumoniae,FH157B
tnpA,APH(3')-Ia,s__Klebsiella pneumoniae,FH157B
tnpA,APH(4)-Ia,s__Klebsiella pneumoniae,FH157B
tnpA,APH(4)-Ia,s__Klebsiella pneumoniae,FH157B
tnpA,QnrS1,s__Escherichia coli,FH157B
tnpA,QnrS1,s__Escherichia coli,FH157B
tnpA,QnrS1,s__Escherichia coli,FH157B
tnpA,QnrS1,s__Escherichia coli,FH157B
tnpA,QnrS1,s__Escherichia coli,FH157B
tnpA,QnrS1,s__Escherichia coli,FH157B
tnpA,QnrS1,s__Escherichia coli,FH157B
tnpA,QnrS1,s__Escherichia coli,FH157B
tnpA,tet(A),s__Escherichia coli,FH157B
tnpA,tet(A),s__Escherichia coli,FH157B
tnpA,tet(A),s__Escherichia coli,FH157B
tnpA,tet(A),s__Escherichia coli,FH157B
tnpA,tet(A),s__Escherichia coli,FH157B
qacEdelta,aadA5,s__unclassified Gammaproteobacteria species,FH157B
qacEdelta,dfrA17,s__unclassified Gammaproteobacteria species,FH157B
qacEdelta,qacEdelta1,s__unclassified Gammaproteobacteria species,FH157B
qacEdelta,sul1,s__unclassified Gammaproteobacteria species,FH157B
tnpA,TEM-1,s__Escherichia coli,FH157B
tnpA,TEM-1,s__Escherichia coli,FH157B
rep7,catA8,s__Enterococcus lactis,FH157B
tnpA,FosB3,s__Enterococcus faecium,FH157B
intI1,AAC(6')-Ib8,s__Enterobacter hormaechei,FH157B
qacEdelta,AAC(6')-Ib8,s__Enterobacter hormaechei,FH157B
intI1,qacL,s__Enterobacter hormaechei,FH157B
qacEdelta,qacL,s__Enterobacter hormaechei,FH157B
tnpA,ErmF,s__Segatella copri,FH157B
tnpA,OXA-347,s__Segatella copri,FH157B
tnpA,tet(Q),s__unclassified Bacteroides species,FH180A
tnpA,TEM-1,s__unclassified Enterobacteriaceae species,FH180A
rep7,catA8,s__Enterococcus faecium,FH180A
tnpA,ErmX,s__Corynebacterium striatum,FH180A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FH180A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FH180A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FH180A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FH180A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FH180A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FH180A
tnpA,QnrS1,s__unclassified Enterobacteriaceae species,FH180A
tnpA,aadA5,s__unclassified Enterobacterales species,FH180A
tnpA,dfrA17,s__unclassified Enterobacterales species,FH180A
tnpA,tet(A),s__unclassified Bacteria species,FH180A
repUS12,tet(45),s__Staphylococcus aureus,FH180A
tnpA,dfrA14,s__unclassified Enterobacteriaceae species,FH180A
tnpA,APH(3'')-Ib,s__unclassified Enterobacterales species,FH180A
tnpA,APH(6)-Id,s__unclassified Enterobacterales species,FH180A
rep13,Streptococcus suis chloramphenicol acetyltransferase,s__Streptococcus pasteurianus,FH180A
tnpA,AAC(3)-IVa,s__unclassified Bacteria species,FH180A
tnpA,AAC(3)-IVa,s__unclassified Bacteria species,FH180A
tnpA,APH(4)-Ia,s__unclassified Bacteria species,FH180A
tnpA,APH(4)-Ia,s__unclassified Bacteria species,FH180A
qacEdelta,aadA2,s__unclassified Pseudomonadota species,FH180A
qacEdelta,dfrA12,s__unclassified Pseudomonadota species,FH180A
qacEdelta,qacEdelta1,s__unclassified Pseudomonadota species,FH180A
qacEdelta,sul1,s__unclassified Pseudomonadota species,FH180A
tnpA,CTX-M-55,s__unclassified Enterobacteriaceae species,FH180A
qacEdelta,qacL,s__unclassified Gammaproteobacteria species,FH180A
rep21,lnuA,s__Staphylococcus aureus,FH180A
IS10,tet(B),s__Escherichia coli,FH180A
tnpA10,tet(B),s__Escherichia coli,FH180A
IS10,tet(R),s__Escherichia coli,FH180A
tnpA10,tet(R),s__Escherichia coli,FH180A
tnpA,tet(Q),s__Parabacteroides goldsteinii,FH206B
tnpA,tet(X),s__Parabacteroides goldsteinii,FH206B
qacEdelta,ANT(2'')-Ia,s__unclassified Gammaproteobacteria species,FH206B
tniB,ANT(2'')-Ia,s__unclassified Gammaproteobacteria species,FH206B
tnpA,ANT(2'')-Ia,s__unclassified Gammaproteobacteria species,FH206B
