Sample,total_abundance,gut_locations
SHCC83A,306.071958,large_intestine
SHCC168A,305.79279,large_intestine
SHCC206A,305.548997,large_intestine
SHCC141A,305.362301,large_intestine
CCH263-2A,305.279474,large_intestine
CCH295-1A,305.073442,large_intestine
CCY41B,303.876537,large_intestine
SRR29409652,303.852007,large_intestine
SHCC35A,303.532719,large_intestine
BKDN170795147-1A,303.221424,Feces
SHCC249A,302.87282,large_intestine
SHCC99A,302.586937,large_intestine
BKDN170794806-1A,302.191816,Feces
SHCC199A,302.146146,large_intestine
FJY14A,301.939871,Feces
SHCC252A,301.882393,large_intestine
SHCC31A,301.595267,large_intestine
SHCC251B,301.467862,large_intestine
SHCC166A,300.584025,large_intestine
FJY21A,299.445244,Feces
BKDN170796251-1A,299.404397,Feces
CCH112-2A,299.216073,large_intestine
SHCC181A,297.881778,large_intestine
SHCC191A,296.994696,large_intestine
CCH227-3A,296.914557,large_intestine
SHCC105A,296.899128,large_intestine
CCY44A,296.69541,large_intestine
CCH156-3B,296.45587,large_intestine
BKDN170794809-1A,296.361735,Feces
SRR29429239,295.932295,large_intestine
CCH306-2A,295.909617,large_intestine
FDM3B,295.847194,Feces
SHCC45A,295.704269,large_intestine
FJY25B,294.907076,Feces
SHCC41A,294.878841,large_intestine
CCH210A,294.802925,large_intestine
SHCC265A,294.79133,large_intestine
SHCC212A,294.147461,large_intestine
CCH259-3A,294.119228,large_intestine
SRR29409648,293.733571,large_intestine
BKDN170794054-1A,293.623108,Feces
SHCC124B,293.384031,large_intestine
SHCC27A,292.893058,large_intestine
SHCC253A,292.280885,large_intestine
CCH95-1A,292.206149,large_intestine
BKDN170793838-1A,291.963211,Feces
BKDN170793902-1A,291.495325,Feces
CCH325-1A,290.819742,large_intestine
SHCC287A,290.58035,large_intestine
SHCC202A,290.532971,large_intestine
FJY23A,290.527947,Feces
SHCC264A,290.070041,large_intestine
CCH221-1A,290.045499,large_intestine
SHCC224A,289.381257,large_intestine
SHCC98A,288.576188,large_intestine
SHCC266B,288.497026,large_intestine
SHCC106A,288.153917,large_intestine
CCH324-4A,288.100533,large_intestine
SRR21163514,287.051187,large_intestine
SRR29449364,286.96627,large_intestine
SHCC189A,286.924319,large_intestine
SRR29449375,286.833717,large_intestine
SHCC242A,286.803067,large_intestine
SHCC226A,286.701407,large_intestine
SHCC162A,286.640262,large_intestine
CCY33B,286.600449,large_intestine
FJY22A,286.538503,Feces
SHCC228A,286.183206,large_intestine
SHCC88B,286.154834,large_intestine
SHCC190A,285.80926,large_intestine
SHCC177A,285.556864,large_intestine
FDM7A,285.521481,Feces
SHCC50A,285.262783,large_intestine
SRR21163524,285.089244,large_intestine
BKDN170794002-1A,285.047901,Feces
BKDN170794228-1A,284.793609,Feces
SHCC74A,284.790738,large_intestine
SHCC46B,284.582224,large_intestine
SHCC261A,283.57449,large_intestine
CCH340-2A,283.535255,large_intestine
BKDN170796080-1A,283.379395,Feces
BKDN170796417-1A,283.008472,Feces
SHCC15A,282.93927,large_intestine
FJY10A,282.762246,Feces
SHCC42A,282.558994,large_intestine
SHCC18A,282.233455,large_intestine
SHCC29A,281.852062,large_intestine
BKDN170795141-1A,281.602603,Feces
BKDN170794393-1A,280.912915,Feces
SHCC78A,280.712177,large_intestine
BKDN170794330-1A,280.240248,Feces
SHCC244A,279.997801,large_intestine
SHCC112A,279.900768,large_intestine
SHCC300A,279.529742,large_intestine
CCH93-1A,278.949705,large_intestine
SHCC38A,278.645573,large_intestine
BKDN170795574-1A,278.258321,Feces
SHCC219A,277.939123,large_intestine
SHCC56A,277.923873,large_intestine
SHCC138A,277.80028,large_intestine
CCS19A,277.572091,large_intestine
BKDN170795910-1A,277.208448,Feces
CCH277-1A,277.160855,large_intestine
BKDN170796422-1A,276.730944,Feces
FJY28A,276.409662,Feces
BKDN170795576-1A,276.336293,Feces
SHCC256A,276.156472,large_intestine
SHCC180A,275.674272,large_intestine
SHCC66A,275.650979,large_intestine
BKDN170795573-1A,275.617143,Feces
BKDN170795836-1A,275.467829,Feces
SHCC267A,275.447389,large_intestine
SHCC192A,275.28251,large_intestine
FH221B,273.257853,Feces
