traits	g__Phocaeicola	s__Phocaeicola_coprocola	MAG8727	MAG19359	MAG21658
LIPID-P-0009	0.0346969465613533	0.0536901370195473	0.0714946906302952	-0.019637449	0.0110124560292443
LIPID-P-0010	-0.057086208	-0.054897122	-0.062303997	-0.032521376	-0.080120577
LIPID-P-0011	-0.004101019	-0.046885951	-0.07373428	-0.035990678	-0.015942233
LIPID-P-0025	0.0315555925725417	-0.033914735	-0.10187887	0.0128950459760713	-0.009624669
LIPID-P-0012	0.0203898814068306	-0.034561376	-0.070407525	-0.020026376	-0.001741518
LIPID-P-0014	-0.053715811	-0.053970541	-0.096389816	0.00461477160909844	-0.041896088
LIPID-P-0015	-0.044021293	-0.026463631	0.0038075961185755	-0.040823159	-0.022373697
LIPID-P-0016	0.0170796374186205	-0.045413601	-0.118197928	0.00571414446607973	0.00736799562765595
LIPID-P-0017	-0.036276646	-0.063631744	-0.146641037	0.00308338645159669	-0.042683093
LIPID-P-0018	-0.036616205	-0.02069507	-0.105924473	0.032453233445542	-0.012530778
LIPID-P-0020	-0.001818922	-0.036192668	-0.113694219	0.00323001582759104	-2.34E-05
LIPID-P-0021	-0.002033621	-0.080405299	-0.110674777	0.0224662611209532	-0.024076179
LIPID-P-0022	0.0170565018022645	-0.041471754	-0.109553363	0.00640466922095988	-0.002710067
LIPID-P-0049	0.0270200863421202	-0.046837598	-0.046828661	0.0553603494443352	0.0123969673051848
LIPID-P-0013	-0.071601956	-0.061275612	-0.105104267	-0.041774547	-0.085478949
LIPID-P-0050	-0.041724159	-0.076038682	-0.112779223	-0.011352542	-0.073434778
LIPID-P-0001	0.0412614463461921	0.0141738056439112	-0.073392256	0.0614516070606815	0.0691226261556876
LIPID-P-1289	0.0152239191822774	-0.006101102	-0.056987399	-0.031005859	0.000370352561055491
LIPID-P-1300	-0.011491923	-0.084772147	-0.09358466	0.0305862392348643	-0.034908494
LIPID-P-1299	0.0267799297941628	-0.026745584	-0.050609464	0.00367263632826606	-0.010205138
LIPID-P-1298	-0.010960254	-0.108667821	-0.133516294	-0.019872224	-0.05388247
LIPID-P-1297	-0.026845181	-0.069217145	-0.086111957	-0.005634691	-0.074714947
LIPID-P-1296	-0.013248503	-0.084245439	-0.023677452	0.000520021174610997	-0.057468511
LIPID-P-1293	0.0415055880364316	-0.033846896	0.00824416860928659	-0.020584037	-0.0512232
LIPID-P-1291	-0.00875801	-0.072745353	-0.082930773	-0.004950495	-0.047676631
LIPID-P-1301	-0.049123391	-0.081422804	-0.125545206	0.00401968335170591	-0.078937262
LIPID-P-1302	0.0580542021219987	-0.044306099	-0.043813384	0.0341970744844691	0.0597309700790819
LIPID-P-1283	-0.073953182	-0.08067232	-0.071286974	-0.040826316	-0.087630389
LIPID-P-1282	-0.074688896	-0.092471055	-0.121646707	-0.013293675	-0.065325708
LIPID-P-1303	-0.009605908	-0.114567123	-0.094806507	0.0234949831727556	-0.046781883
LIPID-P-1304	0.0569143715880513	-0.028905727	-0.055425937	0.0379508302753201	0.0321784810685873
LIPID-P-1305	0.00384351509366424	-0.044960084	-0.030298857	0.014062314026892	0.042506374379187
LIPID-P-0051	0.0204509594340103	-0.070617313	-0.071645107	0.00451169092613243	-0.006873427
LIPID-P-0002	0.0496670784806378	0.066148436512218	-0.051440207	0.0608975194344912	0.0466330910160875
