traits	g__Phocaeicola	s__Phocaeicola_coprocola	MAG8727	MAG19359	MAG21658
LIPID-P-0406	0.00867863240744597	0.0105061159587303	0.0222644526493499	0.00587235594128373	0.0170544276771723
LIPID-P-0404	-0.017739649	0.0275252286459484	0.0672457800332933	0.0427261901581739	-0.00420571
LIPID-P-0403	-0.047614024	-0.050139745	0.0193477565907252	-0.001926103	-0.04042174
LIPID-P-0400	-0.067107169	-0.072998662	-0.004199172	-0.026655043	-0.06135177
LIPID-P-0399	-0.010713179	-0.068308841	-0.020916256	0.0170106291092332	-0.007619257
LIPID-P-0393	0.0035332713298815	-0.022575043	0.0226254527962441	0.0371115939295889	0.0132040919929162
LIPID-P-0394	-0.041759788	-0.057857556	0.00207251109973369	-0.014246214	-0.050717844
LIPID-P-0398	-0.039678272	-0.030186206	-0.066539749	0.0243169649633961	-0.023450699
LIPID-P-0396	-0.017413221	0.0051559928945803	0.0745875838534061	0.0320952227095827	-0.012475166
LIPID-P-0433	-0.054449673	-0.034772373	-0.014901901	-0.013598311	-0.021587895
LIPID-P-0435	0.0404082048149845	-0.002716353	0.0423536480033117	0.0668898659235871	0.0435454296744414
LIPID-P-0436	-0.023294789	-0.046645572	0.00409226063953669	0.0110087852987854	-0.000369172
LIPID-P-0434	0.00743439895982269	-0.004372169	-0.029186399	0.0264180733712905	0.0125256393568521
LIPID-P-1533	-0.08100435	-0.037224698	-0.059600138	-0.074766105	-0.067726779
