ARG,Log2_Abundance,Prevalence_percent
ArnT,-0.213582379,51.46299483648882
RCP-1,-10.34208985,1.376936316695353
Neisseria gonorrhoeae gyrA conferring resistance to fluoroquinolones,-10.81010638,3.4423407917383817
poxtA,1.7229220217636299,74.87091222030982
Staphylococcus intermedius chloramphenicol acetyltransferase,-6.950928459,4.3029259896729775
clcD,-7.866119412,6.626506024096386
Clostridium perfringens mprF,-2.539473441,12.306368330464716
Corynebacterium striatum tetA,-7.883061472,2.9259896729776247
HelR,-8.728707164,0.25817555938037867
msr(G),-5.803275885,10.585197934595525
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,-2.221459323,22.117039586919105
APH(2'')-Ie,-8.087669134,10.068846815834767
APH(2'')-If,0.1413018446581883,60.8433734939759
APH(2'')-Ig,-7.936196073,4.130808950086059
rmtB,-4.407880707,2.667814113597246
catIII,-4.26340054,9.036144578313253
QnrS1,-0.41403204,32.87435456110155
ANT(9)-Ia,-3.087264193,11.359724612736661
SAT-2,-7.163149691,5.76592082616179
ANT(9)-Ib,-6.002628147,3.7005163511187606
tet(O/32/O),-0.546941049,67.72805507745267
SAT-4,2.452306949321823,74.01032702237521
vatE,-5.274706456,6.110154905335628
Klebsiella pneumoniae KpnE,0.25588910386525066,28.055077452667813
Klebsiella pneumoniae KpnF,0.570951964198476,29.43201376936317
AAC(3)-IIc,-0.964076172,28.227194492254732
Klebsiella pneumoniae KpnG,-5.100464448,2.323580034423408
Klebsiella pneumoniae KpnH,-0.625569359,42.51290877796902
armA,-8.228326123,1.8932874354561102
CMY-59,-5.233733613,3.5283993115318415
Mrx,-3.324301305,8.00344234079174
aphA15,-9.694875076,1.8072289156626504
catII from Escherichia coli K-12,-6.352744776,7.917383820998279
Mycobacterium tuberculosis folC with mutation conferring resistance to para-aminosalicylic acid,-11.22355316,1.2048192771084338
efmA,-4.524729313,9.63855421686747
erm(45),-7.449699464,5.421686746987952
vanYA,-3.955232039,24.354561101549052
Acinetobacter baumannii AmvA,-5.085770818,3.0120481927710845
vanYB,1.7935705480327415,69.01893287435456
vanYF,-2.051044817,41.65232358003442
vanYG,1.2919230762579204,68.84681583476764
vanUG,-3.034545535,25.903614457831324
vanYM,-2.345729888,45.00860585197935
LlmA 23S ribosomal RNA methyltransferase,-7.050792194,1.1187607573149743
cmeR,-7.358927243,6.024096385542169
ANT(4')-Ia,-1.022028081,21.514629948364888
ANT(4')-Ib,-10.95898169,0.25817555938037867
Streptomyces venezuelae rox,-7.184314415,2.2375215146299485
FusF,-7.783557785,0.774526678141136
AAC(3)-VIIa,-8.29516662,3.2702237521514634
EBR-5,-8.817229277,2.4096385542168677
golS,-5.193138881,2.1514629948364887
Mef(En2),2.5410933136507605,65.49053356282272
Limosilactobacillus reuteri cat-TC,-15.41422782,0.08605851979345956
Erm(35),0.5943508513796198,60.413080895008605
APH(3')-Ia,-1.220436804,65.3184165232358
APH(3')-Ib,-8.879986389,4.388984509466437
linG,-5.064060337,4.216867469879518
FosA7.5,-1.77679576,4.044750430292599
fosA5,-1.402940042,3.0120481927710845
tet(59),-8.196894287,5.851979345955249
FosXCC,1.679425402102821,65.7487091222031
CMH-4,-8.993948484,1.4629948364888123
AAC(6')-Iid,-7.286647357,3.1841652323580036
cepA,-2.950899082,4.3029259896729775
EstT,1.2644289736175875,60.327022375215144
AAC(6')-IIa,-1.168963597,41.996557659208264
AAC(6')-Iaj,-10.70007473,0.25817555938037867
ANT(6)-Ia,0.707277554422656,50.51635111876076
ANT(6)-Ib,-0.586729163,47.93459552495697
cmlA5,-3.826944514,12.822719449225472
dfrA10,-7.662260295,0.5163511187607573
baeR,-1.461957076,38.7263339070568
dfrA12,-2.304586122,19.44922547332186
baeS,-4.740010964,20.91222030981067
dfrA14,-2.252414044,27.710843373493976
dfrA15,-6.339518273,7.056798623063683
dfrA16,-5.033866725,8.175559380378658
dfrA17,-0.775329367,22.977624784853703
dfrA19,-8.271343259,3.614457831325301
VEB-17,-5.269239107,8.605851979345955
sdrM,-4.234518119,13.166953528399311
RanA,-3.926253972,5.593803786574871
RanB,-4.123391312,5.335628227194492
aadA2,-3.70078738,15.404475043029258
CfxA6,-5.801277828,4.733218588640275
aadA5,-1.832669168,30.37865748709122
aadA7,-9.236093933,2.753872633390706
aadA9,-4.432106809,15.49053356282272
tet(Z),-1.91677227,14.371772805507746
tet(B),-1.556622398,21.772805507745264
dfrA1,-3.134702529,13.59724612736661
APH(2'')-IIIa,-6.835284057,0.9466437177280551
AcrE,-1.585941693,37.607573149741825
tet(36),-3.612653284,19.707401032702236
tet(32),2.3782209894437436,79.08777969018934
fexA,3.0251008447752734,83.39070567986231
fexB,-0.417335725,38.03786574870912
Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,-1.086696255,23.06368330464716
PmrF,-1.466419288,40.79173838209983
