SampleID,V1,V2,V3,breed,application,shape_id
SHCC136A,0.046542819600737105,0.006771292244692518,0.06810010961694504,SRD,dual_type,SRD-JiAn
SHCC137A,0.09886338748459596,-0.069674126,-0.001454858,SRD,dual_type,SRD-JiAn
SHCC138A,0.01631568190048052,-0.08997696,-0.061895068,SRD,dual_type,SRD-JiAn
SHCC139A,-0.035388302,-0.091411952,0.020616044135069855,SRD,dual_type,SRD-JiAn
SHCC13A,0.08786126072817046,-0.014545934,0.061830789021214805,SRD,dual_type,SRD-JiAn
SHCC140A,0.13773072869900413,-0.027222435,0.004794457360871174,SRD,dual_type,SRD-JiAn
SHCC141A,0.012853542359647745,-0.133515375,-0.066003446,SRD,dual_type,SRD-JiAn
SHCC142B,0.02372079934943029,-0.017581029,0.11162777577174274,SRD,dual_type,SRD-JiAn
SHCC143A,0.04433103626035614,-0.023980399,0.04281829753985363,SRD,dual_type,SRD-JiAn
SHCC144A,0.1273220376967334,-0.00275742,0.05139798474941612,SRD,dual_type,SRD-JiAn
SHCC145A,0.21913942625782803,0.07564487800772453,0.036553346101754675,SRD,dual_type,SRD-JiAn
SHCC146A,0.018702528781002096,-0.022745164,0.0802291804675222,SRD,dual_type,SRD-JiAn
SHCC147A,0.10029326782172236,-0.036953045,-0.025212757,SRD,dual_type,SRD-JiAn
SHCC148A,0.03156391998713806,-0.064621517,-0.033434718,SRD,dual_type,SRD-JiAn
SHCC149A,0.05260220150255681,-0.095451529,-0.05356753,SRD,dual_type,SRD-JiAn
SHCC14A,0.25416579625356583,0.4125254066390396,0.049301269983207094,SRD,dual_type,SRD-JiAn
SHCC150A,0.07622392395059846,-0.055875106,0.023886737310493473,SRD,dual_type,SRD-JiAn
SHCC151A,0.04965644602532235,-0.046410492,0.044467337769884804,SRD,dual_type,SRD-JiAn
SHCC152A,0.11967865732331269,0.022518720121657412,-0.005490755,SRD,dual_type,SRD-JiAn
SHCC153A,0.16038130557268981,0.004534626656148635,-0.025927671,SRD,dual_type,SRD-JiAn
SHCC154A,0.07668454250505297,0.005273853850904679,0.08092303315616486,SRD,dual_type,SRD-JiAn
SHCC155A,0.06886414158906384,-0.050629546,-0.01677985,SRD,dual_type,SRD-JiAn
SHCC156A,0.08042842066522585,-0.0811126,-0.016362245,SRD,dual_type,SRD-JiAn
SHCC157B,0.13718648143839227,-0.022463941,-0.007230359,SRD,dual_type,SRD-JiAn
SHCC158A,0.20914314826899788,0.10586799617760541,0.07084018527181962,SRD,dual_type,SRD-JiAn
SHCC159A,0.14514963528757563,-0.030869585,0.0064550154852357315,SRD,dual_type,SRD-JiAn
SHCC15A,-0.06778644,0.030859250512625225,0.12290661947847137,SRD,dual_type,SRD-JiAn
SHCC160B,0.1560789825650828,0.1091706048754601,0.05081718872701898,SRD,dual_type,SRD-JiAn
SHCC161A,0.06574429179003351,-0.073371453,-0.00777104,SRD,dual_type,SRD-JiAn
SHCC162A,0.014289991639558871,-0.135039869,-0.061109463,SRD,dual_type,SRD-JiAn
SHCC163A,0.06218292813513437,0.018740429159549352,0.02997726140083803,SRD,dual_type,SRD-JiAn
SHCC164B,0.023188664575117122,-0.043220464,0.0550868452441006,SRD,dual_type,SRD-JiAn
SHCC165A,0.05490926100493377,-0.016523555,0.059918870272710825,SRD,dual_type,SRD-JiAn
SHCC166A,-0.090560171,-0.006489854,0.14729706968242526,SRD,dual_type,SRD-JiAn
SHCC167A,-0.143864494,-0.053387125,0.08281034388493679,SRD,dual_type,SRD-JiAn
