ARG,CHP,JRD,JYP,LCW,LSD,MWD,PTB,SPD,SXD,TWD,YXP,ZSP
aadA5,0.044220916666666665,0.33232612499999997,0.12666225,0.1420512,1.2853744285714286,0.26903015384615386,0.9196377499999999,2.8098059411764704,8.9546834,0.5545778,1.7499900000000002,1.8070893333333333
dfrA14,0.13936075,0.920801625,0.040168875,0.8826407,1.018095,1.6469173076923078,0,0.437024,0.0805439,0.0208734,0.7606793333333334,1.4806813333333333
dfrA17,0.019524083333333334,0.5701455,0.085099375,0.2159359,1.2290841428571428,0.4922242307692308,0.91485125,2.506950705882353,8.5314894,0.23051539999999998,1.9239523333333333,1.6597446
poxtA,2.523185,6.7238197500000005,3.259272625,1.7547584,1.605927857142857,2.7426316153846155,0.6236820000000001,1.8936783529411765,0.9388599,0.4720706,4.601166222222222,3.3234956666666666
sul1,0.0404705,0.1971139375,0.237232,0.0761535,1.5477964285714285,0.07613415384615385,1.8315165,3.191628294117647,8.7560617,0.6103568,2.193796,2.2045231333333333
sul2,0.5559568333333333,0.977773625,0.241943375,0.4786837,0.43217142857142854,0.6496351538461539,0.09798775,0.46962176470588235,1.416287,0.2026828,0.767327,1.5397494
tet(32),2.3434630833333334,1.9642765625,2.485888375,6.2326343,3.0087255714285717,3.2330488461538462,2.48732075,7.7628394705882355,7.8037827,6.5203254,3.050616,2.2213197333333334
tet(40),1.8965569166666667,2.14237325,1.549866375,7.9979825,3.1588442857142858,3.860975846153846,2.52258675,13.673725411764705,6.1344927,4.6662064,1.7358403333333334,2.215461133333333
tet(A),2.8867908333333334,2.707957125,0.152738375,2.3323696,1.5611131428571428,3.1664111538461537,0.0984485,0.647365,0.420813,0.2573122,1.9572848888888887,3.767853533333333
tet(K),0,0.0433913125,0.3396435,0.0135205,0.12625942857142858,0.013143307692307692,0.07632825,0.03413723529411765,0.4905275,0,0.09401522222222222,0.036969133333333334
tet(M),24.925727583333334,45.596222625,21.604666875,18.6954416,20.002678142857143,40.06170392307692,10.924949,18.682084,10.6104879,25.4998538,69.86508933333333,32.5488616
tet(O),7.712449,37.222846875,12.707784125,24.460227,77.75091971428571,45.791541076923075,76.59604675,206.58012423529414,12.1108546,26.274878,18.147095222222223,84.911995
tet(Q),44.75815625,30.194165125,10.280793375,79.1851588,47.56641271428571,33.32246107692308,51.690176,35.491274294117645,56.9788665,26.323145,15.583042111111112,32.117324866666664
tet(S),0.6432829166666667,0.773309875,1.537462375,0.0449333,0.3071081428571429,0.10612207692307693,0.1814525,0.442863,0.5333475,2.120499,4.781349,0.47054393333333333
tet(W),130.85806733333334,34.48902575,192.934488625,68.4417525,35.500786857142856,34.84127023076923,27.465134250000002,25.452065470588234,78.5736187,53.5308452,31.360487666666668,23.760613
tet(X),0.7703663333333334,0.1742143125,0.03649325,0,0,0.011574923076923076,0.019358,0.183294,0.9853992,0.087371,0.4909401111111111,0.09170673333333333
