Sample,total_abundance,gut_locations
MCH325B,168.201585,Stomach
MCH326B,410.493393,Stomach
MCH328B,124.795071,Stomach
MCH340B,135.148781,Stomach
MCH346B,85.696531,Stomach
MCH74B,130.503071,Stomach
MCH95A,12.177798,Stomach
SHCC100A,355.772719,large_intestine
SHCC101A,372.281957,large_intestine
SHCC102A,458.006573,large_intestine
SHCC103A,429.605958,large_intestine
SHCC104A,413.012526,large_intestine
SHCC105A,507.504935,large_intestine
SHCC106A,533.639775,large_intestine
SHCC107A,286.128207,large_intestine
SHCC108A,431.723055,large_intestine
SHCC109A,267.994857,large_intestine
SHCC10A,475.216334,large_intestine
SHCC110A,481.433032,large_intestine
SHCC111A,431.859787,large_intestine
SHCC112A,486.868639,large_intestine
SHCC113A,418.556285,large_intestine
SHCC114A,468.068734,large_intestine
SHCC115A,511.798511,large_intestine
SHCC116A,432.457633,large_intestine
SHCC117A,425.989717,large_intestine
SHCC118A,45.915232,large_intestine
SHCC119A,415.801846,large_intestine
SHCC11A,397.572174,large_intestine
SHCC120A,119.230577,large_intestine
SHCC121A,397.721557,large_intestine
SHCC122B,516.193249,large_intestine
SHCC123A,356.19134,large_intestine
SHCC124B,487.927927,large_intestine
SHCC125A,381.46843,large_intestine
SHCC126A,459.54442,large_intestine
SHCC127A,150.106881,large_intestine
SHCC128A,442.313877,large_intestine
SHCC129A,162.339032,large_intestine
SHCC12A,416.318264,large_intestine
SHCC130A,365.579493,large_intestine
SHCC131A,343.580593,large_intestine
SHCC132A,375.323481,large_intestine
SHCC133A,289.022609,large_intestine
SHCC134A,274.035095,large_intestine
SHCC135A,470.040814,large_intestine
SHCC136A,441.901901,large_intestine
SHCC137A,397.349423,large_intestine
SHCC138A,526.24334,large_intestine
SHCC139A,523.103939,large_intestine
SHCC13A,405.163943,large_intestine
SHCC140A,370.939178,large_intestine
SHCC141A,489.45502,large_intestine
SHCC142B,472.760694,large_intestine
SHCC143A,435.086051,large_intestine
SHCC144A,393.277345,large_intestine
SHCC145A,283.899967,large_intestine
SHCC146A,488.418835,large_intestine
SHCC147A,396.762896,large_intestine
SHCC148A,491.245889,large_intestine
SHCC149A,465.25627,large_intestine
SHCC14A,134.791515,large_intestine
SHCC150A,414.975485,large_intestine
SHCC151A,433.934258,large_intestine
SHCC152A,382.145536,large_intestine
SHCC153A,334.057715,large_intestine
