Sample,high_risk_ARG_abundance,gut_locations
FJY18A,258.947092,Feces
FJY19A,150.15248400000002,Feces
FJY1A,356.01206,Feces
FJY20A,172.49914,Feces
FJY21A,285.950602,Feces
FJY22A,272.032464,Feces
FJY23A,276.544098,Feces
FJY24B,304.52518299999997,Feces
FJY25B,296.60057,Feces
FJY26A,359.342578,Feces
FJY27B,113.007328,Feces
FJY28A,240.912308,Feces
FJY29A,380.65106599999996,Feces
FJY2A,418.783732,Feces
FJY30A,312.055761,Feces
FJY32B,161.256021,Feces
FJY35A,39.91082,Feces
FJY37A,419.320468,Feces
FJY3A,341.090745,Feces
FJY43B,149.429069,Feces
FJY44A,336.405881,Feces
FJY45A,48.170022,Feces
FJY4A,291.633569,Feces
FJY52A,544.356057,Feces
FJY53A,375.81129500000003,Feces
FJY59A,54.372587,Feces
FJY5A,263.489201,Feces
FJY61B,184.748459,Feces
FJY63B,87.211283,Feces
FJY64B,472.988657,Feces
FJY65A,149.126112,Feces
FJY69A,516.054753,Feces
FJY6B,140.582988,Feces
FJY73A,208.10739900000002,Feces
FJY74A,335.652104,Feces
FJY75A,272.637204,Feces
FJY78B,145.21337400000002,Feces
FJY79A,141.641118,Feces
FJY7A,287.21446299999997,Feces
FJY80B,308.079004,Feces
FJY8A,311.736257,Feces
FJY9B,511.452834,Feces
FM13B,138.844076,Feces
FM14A,140.053769,Feces
FM15B,155.611125,Feces
FM17B,367.274528,Feces
FM18B,245.81435,Feces
FM1B,193.386493,Feces
FM21A,181.867931,Feces
FM2B,141.324724,Feces
FM3B,159.202659,Feces
FM4B,117.477118,Feces
FM5B,348.81043,Feces
FM6B,98.14254,Feces
FM7B,157.754114,Feces
FM8B,84.328919,Feces
GCH111B,52.945536000000004,Stomach
GCH112A,10.788663,Stomach
GCH119A,0,Stomach
GCH151B,2.721253,Stomach
GCH156B,9.673456,Stomach
GCH162B,1.263759,Stomach
GCH186B,137.507575,Stomach
GCH206A,3.2518629999999997,Stomach
GCH209B,65.840291,Stomach
GCH212B,108.1736,Stomach
GCH221A,15.718045,Stomach
GCH227B,78.47877700000001,Stomach
GCH250A,0.276445,Stomach
GCH251A,12.927011,Stomach
GCH263A,0.185626,Stomach
GCH277A,20.604443,Stomach
GCH294A,4.3411159999999995,Stomach
GCH295A,4.335756,Stomach
GCH323A,0,Stomach
GCH324A,2.499874,Stomach
GCH325A,11.200994,Stomach
GCH326A,2.694414,Stomach
GCH340A,0.39946899999999996,Stomach
GCH346A,0.647267,Stomach
GCH74A,0.144908,Stomach
ICH108-1A,0.137971,small_intestine
ICH111-1A,0,small_intestine
ICH112-1A,0,small_intestine
ICH119-1A,0,small_intestine
ICH127-1A,0.130227,small_intestine
ICH150-1A,1.608384,small_intestine
ICH151-1A,2.430396,small_intestine
ICH180-1A,23.789001,small_intestine
ICH206-1A,0.9788600000000001,small_intestine
ICH210-1A,2.354647,small_intestine
ICH221-1A,0.402432,small_intestine
ICH227-1A,18.496052,small_intestine
ICH247-1A,132.687157,small_intestine
ICH250-1A,0.420338,small_intestine
ICH258-1A,7.962491,small_intestine
ICH259-1A,8.024721,small_intestine
ICH263-1A,2.355103,small_intestine
ICH277-1A,0.047072,small_intestine
ICH287-1A,0.232325,small_intestine
ICH294-1A,0.32794500000000004,small_intestine
ICH295-1A,0.61783,small_intestine
ICH306-1A,0.34517299999999995,small_intestine
ICH323-1A,0.790465,small_intestine
ICH324-1A,0.810305,small_intestine
ICH325-1A,0.222628,small_intestine
ICH326-1A,1.850813,small_intestine
ICH328-1A,0.675324,small_intestine
ICH340-1A,0,small_intestine
ICH346-1A,0.287329,small_intestine
ICH57-1A,26.833103,small_intestine
ICH93-1A,0,small_intestine
ICH95-1A,0,small_intestine
JCH108-1A,1.459296,small_intestine
JCH111-1A,1.1617730000000002,small_intestine
JCH112-1A,2.0401670000000003,small_intestine
JCH119-1A,2.020155,small_intestine
JCH127-1A,3.032917,small_intestine
JCH157-1A,236.165351,small_intestine
JCH180-1A,1.588403,small_intestine
JCH206-1A,1.5436679999999998,small_intestine
JCH209-1A,6.181644,small_intestine
JCH210-1A,1.32691,small_intestine
JCH247-1A,12.804572,small_intestine
JCH250-1A,1.147929,small_intestine
JCH258-1A,1.124376,small_intestine
JCH259-1B,4.129364,small_intestine
JCH263-1A,0,small_intestine
JCH277-1A,0,small_intestine
JCH287-1A,0,small_intestine
JCH294-1A,0.48435,small_intestine
JCH295-1A,0.137939,small_intestine
JCH306-1A,0,small_intestine
JCH323-1A,0.407824,small_intestine
JCH324-1A,0.269252,small_intestine
JCH325-1A,0,small_intestine
JCH326-1A,1.13354,small_intestine
JCH328-1A,0,small_intestine
JCH340-1A,0.700936,small_intestine
JCH346-1A,0.141899,small_intestine
JCH57-1A,3.792732,small_intestine
JCH74-1A,2.8402369999999997,small_intestine
JCH93-1A,1.1933179999999999,small_intestine
JCH95-1A,1.133774,small_intestine
MCH108B,82.881188,Stomach
MCH111A,10.595260999999999,Stomach
MCH112B,23.195855,Stomach
MCH119B,35.401033,Stomach
MCH127B,25.449404,Stomach
MCH151A,0.358348,Stomach
MCH156B,0.150169,Stomach
MCH221A,13.678030999999999,Stomach
MCH259B,19.816685,Stomach
MCH277B,29.54026,Stomach
MCH287B,11.714022,Stomach
MCH294B,9.47769,Stomach
MCH295B,20.072108,Stomach
MCH306A,1.268245,Stomach
MCH323B,15.824242,Stomach
MCH324B,44.811214,Stomach
MCH325B,64.315759,Stomach
MCH326B,58.340411,Stomach
MCH328B,29.944812,Stomach
MCH340B,37.343366,Stomach
MCH346B,21.980002,Stomach
MCH74B,35.269929,Stomach
MCH95A,2.776001,Stomach
SHCC100A,200.239114,large_intestine
SHCC101A,187.583565,large_intestine
SHCC102A,247.270081,large_intestine
SHCC103A,259.844981,large_intestine
SHCC104A,246.52127299999998,large_intestine
SHCC105A,287.49336800000003,large_intestine
SHCC106A,282.41069699999997,large_intestine
SHCC107A,141.199486,large_intestine
SHCC108A,235.03945199999998,large_intestine
SHCC109A,137.699636,large_intestine
SHCC10A,248.15078400000002,large_intestine
SHCC110A,245.736499,large_intestine
SHCC111A,219.29211899999999,large_intestine
SHCC112A,266.066285,large_intestine
SHCC113A,242.289391,large_intestine
SHCC114A,246.692764,large_intestine
SHCC115A,246.644864,large_intestine
SHCC116A,228.421772,large_intestine
SHCC117A,244.114776,large_intestine
SHCC118A,20.333602,large_intestine
SHCC119A,221.011607,large_intestine
SHCC11A,216.95046,large_intestine
SHCC120A,45.277366,large_intestine
SHCC121A,216.41467,large_intestine
SHCC122B,257.22192,large_intestine
SHCC123A,173.714335,large_intestine
SHCC124B,278.867258,large_intestine
SHCC125A,208.776784,large_intestine
SHCC126A,257.724586,large_intestine
SHCC127A,50.214159,large_intestine
SHCC128A,246.610839,large_intestine
SHCC129A,66.459364,large_intestine
SHCC12A,241.657513,large_intestine
SHCC130A,190.03658000000001,large_intestine
SHCC131A,184.600118,large_intestine
SHCC132A,220.167788,large_intestine
SHCC133A,160.771545,large_intestine
SHCC134A,137.37774000000002,large_intestine
SHCC135A,253.712279,large_intestine
SHCC136A,220.653009,large_intestine
SHCC137A,224.806386,large_intestine
SHCC138A,266.503236,large_intestine
SHCC139A,296.62606800000003,large_intestine
SHCC13A,210.616406,large_intestine
SHCC140A,200.798974,large_intestine
SHCC141A,295.17086,large_intestine
SHCC142B,230.923226,large_intestine
SHCC143A,246.38294,large_intestine
SHCC144A,199.70466000000002,large_intestine
SHCC145A,153.609902,large_intestine
SHCC146A,245.688249,large_intestine
SHCC147A,225.797556,large_intestine
SHCC148A,247.003628,large_intestine
SHCC149A,254.151645,large_intestine
SHCC14A,37.972176,large_intestine
SHCC150A,229.51624700000002,large_intestine
SHCC151A,244.698526,large_intestine
SHCC152A,196.325862,large_intestine
SHCC153A,187.207603,large_intestine
SHCC154A,207.843311,large_intestine
SHCC155A,236.299251,large_intestine
SHCC156A,233.008358,large_intestine
SHCC157B,195.45999600000002,large_intestine
SHCC158A,133.02904,large_intestine
SHCC159A,192.99018,large_intestine
SHCC15A,273.097687,large_intestine
SHCC160B,158.15412,large_intestine
SHCC161A,242.354988,large_intestine
SHCC162A,278.26498100000003,large_intestine
SHCC163A,202.48042800000002,large_intestine
SHCC164B,260.913124,large_intestine
SHCC165A,230.14471,large_intestine
SHCC166A,295.271895,large_intestine
SHCC167A,369.628265,large_intestine
SHCC168A,295.20122,large_intestine
SHCC169A,186.88637599999998,large_intestine
SHCC16A,258.989884,large_intestine
SHCC170A,175.229545,large_intestine
SHCC171A,249.51434799999998,large_intestine
SHCC172A,128.924676,large_intestine
SHCC173A,119.15748599999999,large_intestine
SHCC174A,195.896429,large_intestine
SHCC175A,296.620703,large_intestine
SHCC176A,222.17719400000001,large_intestine
SHCC177A,273.107882,large_intestine
SHCC178A,258.904229,large_intestine
SHCC179A,296.161679,large_intestine
SHCC17A,230.18813699999998,large_intestine
SHCC180A,268.339478,large_intestine
SHCC181A,288.79004,large_intestine
SHCC182A,206.149699,large_intestine
SHCC183A,143.882383,large_intestine
SHCC184A,258.750531,large_intestine
SHCC185B,314.801125,large_intestine
SHCC186A,253.275408,large_intestine
SHCC187A,188.281226,large_intestine
SHCC188A,250.073922,large_intestine
SHCC189A,277.095763,large_intestine
