Sample,Total_high_risk_ARG_abundance,Total_ARG_abundance,source
FJY24B,351.687406,541.555973,Duck
FJY25B,294.907076,722.847104,Duck
FJY26A,361.391995,702.718877,Duck
FJY27B,137.03013,304.180745,Duck
FJY28A,276.409662,516.784418,Duck
FJY29A,440.338795,733.860658,Duck
FJY2A,464.459397,962.500753,Duck
FJY30A,321.818076,524.6322,Duck
FJY32B,174.045247,378.005593,Duck
FJY35A,46.418828,87.904559,Duck
FJY37A,516.651652,1049.661787,Duck
FJY3A,372.632634,603.336246,Duck
FJY43B,158.502769,361.158691,Duck
FJY44A,401.281631,864.193626,Duck
FJY45A,57.101479,156.492945,Duck
FJY4A,347.370456,736.115447,Duck
FJY52A,669.285394,1199.328693,Duck
FJY53A,419.234288,1188.362886,Duck
FJY59A,59.186962,109.343041,Duck
FJY5A,306.380884,706.053999,Duck
FJY61B,208.742423,452.821357,Duck
FJY63B,92.167839,225.089752,Duck
FJY64B,600.400289,1253.838232,Duck
FJY65A,165.424377,339.145248,Duck
FJY69A,555.064812,944.978815,Duck
FJY6B,154.5323,403.053706,Duck
FJY73A,239.5871,512.710933,Duck
FJY74A,366.673721,872.467025,Duck
FJY75A,273.123119,758.768259,Duck
FJY78B,165.999499,316.600679,Duck
FJY79A,166.991357,323.718245,Duck
FJY7A,322.456963,713.90531,Duck
FJY80B,400.163953,629.230912,Duck
FJY8A,331.462772,857.188228,Duck
FJY9B,611.574011,1067.472614,Duck
FM13B,140.70849,378.347075,Duck
FM14A,127.145481,360.16741,Duck
FM15B,167.093999,378.180302,Duck
FM17B,386.970023,616.812133,Duck
FM18B,247.936997,513.246824,Duck
FM1B,218.150138,438.663731,Duck
FM21A,181.530125,369.364324,Duck
FM2B,167.236909,299.027612,Duck
FM3B,154.548943,370.583512,Duck
FM4B,122.581196,308.279007,Duck
FM5B,365.80017,612.421716,Duck
FM6B,98.506047,315.412045,Duck
FM7B,160.907375,362.69407,Duck
FM8B,85.767045,290.853014,Duck
GCH111B,44.674113,85.800603,Duck
GCH112A,7.970514,16.164701,Duck
GCH119A,0,0.263699,Duck
GCH151B,2.892559,5.567438,Duck
GCH156B,10.670311,17.056848,Duck
GCH162B,0.990047,3.651165,Duck
GCH186B,130.180305,580.177739,Duck
GCH206A,3.197842,7.515822,Duck
GCH209B,60.071214,206.314628,Duck
GCH212B,85.555242,379.413846,Duck
GCH221A,14.97755,95.674655,Duck
GCH227B,56.419558,157.401939,Duck
GCH250A,0.276445,1.740561,Duck
GCH251A,5.534419,46.094468,Duck
GCH263A,0,1.358279,Duck
GCH277A,0.548914,111.2024,Duck
GCH294A,0.408643,25.794704,Duck
GCH295A,0.703664,28.461971,Duck
GCH323A,0,0.120128,Duck
GCH324A,2.213485,7.358584,Duck
GCH325A,7.175219,28.166225,Duck
GCH326A,2.743416,14.449523,Duck
GCH340A,0.196774,1.71067,Duck
GCH346A,0.384634,4.774587,Duck
GCH74A,0.144908,1.027809,Duck
ICH108-1A,0.137971,0.286606,Duck
ICH111-1A,0,0,Duck
ICH112-1A,0,0,Duck
ICH119-1A,0,0,Duck
