Sample_id	Day	Group	RA
HB14D004	14d	0.02%DAPr	0.734421859380207
HB14D005	14d	0.03%DAPr	0.824011357922447
HB14D006	14d	Control	0.0466866053458232
HB14D007	14d	0.03%DAPr	0.86081434441539
HB14D010	14d	0.02%DAPr	0.865293761356754
HB14D011	14d	0.02%DAPr	0.874148896371119
HB14D013	14d	Control	0.0436747618184101
HB14D014	14d	0.02%DAPr	0.813625278887563
HB14D016	14d	Control	0.0163110733401917
HB14D018	14d	0.02%DAPr	0.910103836999451
HB14D020	14d	0.03%DAPr	0.893990745925555
HB14D021	14d	0.02%DAPr	0.1432383116436
HB14D022	14d	0.03%DAPr	0.586239511083087
HB14D026	14d	0.02%DAPr	0.548947217987805
HB14D027	14d	Control	0.0545291966723618
HB14D028	14d	0.02%DAPr	0.723380407980273
HB14D029	14d	0.03%DAPr	0.870580060733954
HB14D030	14d	0.03%DAPr	0.89220610777031
HB14D031	14d	0.02%DAPr	0.335692562897429
HB14D032	14d	0.03%DAPr	0.773179808518083
HB14D033	14d	0.02%DAPr	0.913545908126398
HB14D034	14d	0.02%DAPr	0.929060967291389
HB14D035	14d	Control	0.0793373326447102
HB14D036	14d	Control	0.0413461115751528
HB14D037	14d	0.02%DAPr	0.0878235542819561
HB14D038	14d	Control	0.0375717516089755
HB14D039	14d	Control	0.040060169424432
HB14D040	14d	0.03%DAPr	0.962513812154696
HB14D041	14d	0.03%DAPr	0.830256855550265
HB14D042	14d	0.02%DAPr	0.151144917826036
HB14D043	14d	Control	0.0807488540984582
HB14D044	14d	0.02%DAPr	0.873227150841599
HB14D045	14d	0.03%DAPr	0.118207698972645
HB14D046	14d	0.02%DAPr	0.30780233719267
HB14D048	14d	Control	0.0308156798163535
HB14D049	14d	0.03%DAPr	0.103357393864565
HB14D050	14d	Control	0.0180870405986274
HB14D052	14d	0.02%DAPr	0.968237461373901
HB14D053	14d	0.03%DAPr	0.923048991676443
HB14D054	14d	0.03%DAPr	0.960169844743149
HB14D055	14d	Control	0.0560845989910707
HB14D057	14d	Control	0.174999397052794
HB14D058	14d	0.02%DAPr	0.144784796945505
HB14D059	14d	0.02%DAPr	0.780752980435426
HB14D060	14d	Control	0.0592763221038487
HB14D061	14d	0.02%DAPr	0.931792878899275
HB14D062	14d	0.03%DAPr	0.237958637270169
HB14D064	14d	Control	0.06552448919738
HB14D066	14d	0.02%DAPr	0.945145378380388
HB14D068	14d	Control	0.0368166287015945
HB14D070	14d	0.03%DAPr	0.64783988178025
HB14D073	14d	Control	0.00645036557930259
HB14D074	14d	Control	0.0627656861078048
HB14D075	14d	0.03%DAPr	0.858836310960888
HB14D076	14d	0.03%DAPr	0.883922563279673
HB14D077	14d	Control	0.0769230769230769
HB14D078	14d	Control	0.0334855695425238
HB14D079	14d	Control	0.0244632375656472
HB14D080	14d	0.03%DAPr	0.832908359190194
HB14D081	14d	0.03%DAPr	0.894025865228546
HB14D082	14d	0.02%DAPr	0.88744819563268
HB14D085	14d	0.02%DAPr	0.921127021641411
HB14D086	14d	0.03%DAPr	0.867985271333427
HB14D087	14d	Control	0.13542440646782
HB14D088	14d	Control	0.057910156
HB14D089	14d	0.03%DAPr	0.743427832226096
HB14D090	14d	0.03%DAPr	0.535864230382591
HB14D091	14d	0.02%DAPr	0.897902026682962
HB14D094	14d	0.03%DAPr	0.285850996681123
HB14D095	14d	Control	0.0529330979007259
HB14D096	14d	0.03%DAPr	0.88573605467307
HB14D098	14d	0.02%DAPr	0.579636472372328
HB14D099	14d	0.02%DAPr	0.92883581786837
