Sample,total_abundance,gut_locations
SHCC12A,359.694002,CC
FJY13B,359.239861,Feces
SHCC283A,359.114929,CC
BKDN170794480-1A,358.8475,Feces
SHCC143A,358.55345,CC
SHCC156A,358.463457,CC
SHCC108A,357.655554,CC
SHCC111A,357.537805,CC
SHCC268A,357.397519,CC
SHCC165A,356.491822,CC
BKDN170794056-1A,356.438875,Feces
SHCC155A,356.377425,CC
BKDN170794163-1A,355.795651,Feces
SHCC225B,355.271805,CC
BKDN170794551-1A,354.336219,Feces
SHCC151A,353.364503,CC
FDM26A,353.348682,Feces
BKDN170796077-1A,352.117631,Feces
SHCC104A,351.918728,CC
SHCC36A,350.616568,CC
SHCC195A,350.336477,CC
SHCC187A,350.228569,CC
SHCC117A,350.064288,CC
SHCC17A,349.965018,CC
SRR29449371,349.230302,CC
SHCC273B,348.800611,CC
SHCC193A,347.989276,CC
SHCC238A,347.965998,CC
SHCC290A,347.593393,CC
FH295A,347.017144,Feces
SHCC200A,346.010727,CC
SHCC216A,345.434874,CC
SHCC93A,345.359215,CC
SHCC116A,343.446787,CC
SHCC269A,343.301799,CC
SHCC28B,342.47974,CC
SHCC24A,341.958746,CC
SHCC150A,340.721212,CC
SHCC11A,340.139295,CC
SHCC70A,339.918402,CC
FJY65A,339.145248,Feces
FDM19A,339.106984,Feces
SHCC137A,337.891829,CC
SHCC61A,337.631321,CC
CCS20A,337.586747,CC
SHCC87A,336.612205,CC
SHCC147A,335.391691,CC
SHCC13A,335.271423,CC
SHCC258A,334.065519,CC
FH180A,333.725977,Feces
SRR29354206,332.222432,CC
SHCC293A,330.353336,CC
SHCC119A,329.901428,CC
SHCC222A,328.939416,CC
SHCC154A,328.74571,CC
SHCC279A,327.153949,CC
CCS34A,327.045834,CC
SHCC255B,326.838711,CC
SHCC55A,326.657102,CC
SHCC194A,326.54879,CC
CCH119-1A,326.215092,CC
SHCC152A,326.184533,CC
FDM33A,325.6237,Feces
SHCC223A,325.353472,CC
SRR29449363,325.254885,CC
SHCC234B,325.037971,CC
FJY79A,323.718245,Feces
BKDN170796000-1A,323.275551,Feces
SHCC79A,322.199176,CC
SHCC63A,321.907024,CC
SHCC121A,321.32573,CC
SHCC182A,320.557216,CC
FH151A,320.480516,Feces
MCH326B,319.644197,MS
SHCC94A,317.698776,CC
SHCC60A,317.441245,CC
SHCC157B,316.766538,CC
FJY78B,316.600679,Feces
FM6B,315.412045,Feces
CCH74-3A,315.268203,CC
FDM25B,314.751936,Feces
FH93B,314.430125,Feces
FDM28B,314.413355,Feces
SHCC68A,314.029699,CC
SHCC132A,312.945018,CC
SHCC52A,312.779044,CC
SHCC30A,310.604947,CC
SHCC125A,309.254422,CC
SHCC100A,308.878483,CC
SHCC84A,308.53068,CC
FM4B,308.279007,Feces
CCS29B,308.271494,CC
SHCC140A,307.847399,CC
SHCC260A,307.837871,CC
CCS24A,307.031066,CC
SHCC215A,305.120819,CC
SRR29409645,304.266404,CC
FJY27B,304.180745,Feces
FDM16A,303.08983,Feces
SHCC144A,302.360546,CC
SHCC174A,302.249047,CC
FDM8B,302.246016,Feces
SHCC159A,301.980051,CC
CCS15B,300.958571,CC
FM2B,299.027612,Feces
SHCC101A,298.888783,CC
